,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1598
9,0,s,g0-01,1598
10,0,s,g0-10,1598
11,0,s,g0-11,1598
12,0,s,g1-00,2398
13,0,s,g1-01,2398
14,0,s,g1-10,2398
15,0,s,g1-11,2398
16,1,i,g0-00,2
17,1,i,g0-01,2
18,1,i,g0-10,2
19,1,i,g0-11,2
20,1,i,g1-00,2
21,1,i,g1-01,1
22,1,i,g1-10,4
23,1,i,g1-11,2
24,1,r,g1-01,1
25,1,s,g0-00,1598
26,1,s,g0-01,1598
27,1,s,g0-10,1598
28,1,s,g0-11,1598
29,1,s,g1-00,2398
30,1,s,g1-01,2398
31,1,s,g1-10,2396
32,1,s,g1-11,2398
33,2,i,g0-00,2
34,2,i,g0-01,2
35,2,i,g0-10,2
36,2,i,g0-11,2
37,2,i,g1-00,3
38,2,i,g1-01,2
39,2,i,g1-10,5
40,2,i,g1-11,2
41,2,r,g1-01,1
42,2,s,g0-00,1598
43,2,s,g0-01,1598
44,2,s,g0-10,1598
45,2,s,g0-11,1598
46,2,s,g1-00,2397
47,2,s,g1-01,2397
48,2,s,g1-10,2395
49,2,s,g1-11,2398
50,3,i,g0-00,2
51,3,i,g0-10,1
52,3,i,g0-11,2
53,3,i,g1-00,3
54,3,i,g1-01,3
55,3,i,g1-10,6
56,3,i,g1-11,4
57,3,r,g0-01,2
58,3,r,g0-10,1
59,3,r,g1-01,1
60,3,r,g1-10,1
61,3,s,g0-00,1598
62,3,s,g0-01,1598
63,3,s,g0-10,1598
64,3,s,g0-11,1598
65,3,s,g1-00,2397
66,3,s,g1-01,2396
67,3,s,g1-10,2393
68,3,s,g1-11,2396
69,4,i,g0-00,2
70,4,i,g0-10,1
71,4,i,g0-11,1
72,4,i,g1-00,3
73,4,i,g1-01,3
74,4,i,g1-10,7
75,4,i,g1-11,4
76,4,r,g0-01,2
77,4,r,g0-10,1
78,4,r,g0-11,1
79,4,r,g1-01,1
80,4,r,g1-10,2
81,4,s,g0-00,1598
82,4,s,g0-01,1598
83,4,s,g0-10,1598
84,4,s,g0-11,1598
85,4,s,g1-00,2397
86,4,s,g1-01,2396
87,4,s,g1-10,2391
88,4,s,g1-11,2396
89,5,i,g0-00,3
90,5,i,g0-10,1
91,5,i,g0-11,1
92,5,i,g1-00,5
93,5,i,g1-01,5
94,5,i,g1-10,9
95,5,i,g1-11,6
96,5,r,g0-01,2
97,5,r,g0-10,1
98,5,r,g0-11,1
99,5,r,g1-01,1
100,5,r,g1-10,2
101,5,s,g0-00,1597
102,5,s,g0-01,1598
103,5,s,g0-10,1598
104,5,s,g0-11,1598
105,5,s,g1-00,2395
106,5,s,g1-01,2394
107,5,s,g1-10,2389
108,5,s,g1-11,2394
109,6,i,g0-00,2
110,6,i,g0-11,2
111,6,i,g1-00,5
112,6,i,g1-01,10
113,6,i,g1-10,10
114,6,i,g1-11,5
115,6,r,g0-00,1
116,6,r,g0-01,2
117,6,r,g0-10,2
118,6,r,g0-11,1
119,6,r,g1-00,1
120,6,r,g1-01,1
121,6,r,g1-10,2
122,6,r,g1-11,1
123,6,s,g0-00,1597
124,6,s,g0-01,1598
125,6,s,g0-10,1598
126,6,s,g0-11,1597
127,6,s,g1-00,2394
128,6,s,g1-01,2389
129,6,s,g1-10,2388
130,6,s,g1-11,2394
131,7,i,g0-00,2
132,7,i,g0-01,1
133,7,i,g0-11,2
134,7,i,g1-00,7
135,7,i,g1-01,13
136,7,i,g1-10,11
137,7,i,g1-11,7
138,7,r,g0-00,1
139,7,r,g0-01,2
140,7,r,g0-10,2
141,7,r,g0-11,1
142,7,r,g1-00,2
143,7,r,g1-01,2
144,7,r,g1-10,3
145,7,r,g1-11,1
146,7,s,g0-00,1597
147,7,s,g0-01,1597
148,7,s,g0-10,1598
149,7,s,g0-11,1597
150,7,s,g1-00,2391
151,7,s,g1-01,2385
152,7,s,g1-10,2386
153,7,s,g1-11,2392
154,8,i,g0-00,2
155,8,i,g0-01,1
156,8,i,g0-10,1
157,8,i,g0-11,3
