,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,3
3,0,i,g1-00,2
4,0,i,g1-01,2
5,0,i,g1-10,1
6,0,i,g1-11,4
7,0,s,g0-00,1188
8,0,s,g0-01,867
9,0,s,g0-10,1204
10,0,s,g0-11,856
11,0,s,g1-00,2808
12,0,s,g1-01,3129
13,0,s,g1-10,2792
14,0,s,g1-11,3140
15,1,i,g0-00,1
16,1,i,g0-10,4
17,1,i,g0-11,4
18,1,i,g1-00,3
19,1,i,g1-01,5
20,1,i,g1-10,1
21,1,i,g1-11,1
22,1,r,g1-11,1
23,1,s,g0-00,1194
24,1,s,g0-01,820
25,1,s,g0-10,1169
26,1,s,g0-11,812
27,1,s,g1-00,2802
28,1,s,g1-01,3175
29,1,s,g1-10,2826
30,1,s,g1-11,3182
31,2,i,g0-00,3
32,2,i,g0-01,2
33,2,i,g0-10,2
34,2,i,g0-11,2
35,2,i,g1-00,1
36,2,i,g1-01,7
37,2,i,g1-10,4
38,2,i,g1-11,6
39,2,r,g1-10,1
40,2,r,g1-11,1
41,2,s,g0-00,1189
42,2,s,g0-01,823
43,2,s,g0-10,1163
44,2,s,g0-11,850
45,2,s,g1-00,2807
46,2,s,g1-01,3168
47,2,s,g1-10,2830
48,2,s,g1-11,3141
49,3,i,g0-00,2
50,3,i,g0-01,2
51,3,i,g0-10,3
52,3,i,g0-11,6
53,3,i,g1-00,3
54,3,i,g1-01,6
55,3,i,g1-10,5
56,3,i,g1-11,2
57,3,r,g1-01,3
58,3,r,g1-10,1
59,3,r,g1-11,3
60,3,s,g0-00,1170
61,3,s,g0-01,806
62,3,s,g0-10,1219
63,3,s,g0-11,817
64,3,s,g1-00,2825
65,3,s,g1-01,3183
66,3,s,g1-10,2772
67,3,s,g1-11,3172
68,4,i,g0-00,3
69,4,i,g0-01,6
70,4,i,g0-10,3
71,4,i,g0-11,2
72,4,i,g1-01,4
73,4,i,g1-10,3
74,4,i,g1-11,7
75,4,r,g0-00,1
76,4,r,g1-00,2
77,4,r,g1-01,4
78,4,r,g1-10,4
79,4,r,g1-11,4
80,4,s,g0-00,1179
81,4,s,g0-01,821
82,4,s,g0-10,1251
83,4,s,g0-11,862
84,4,s,g1-00,2815
85,4,s,g1-01,3165
86,4,s,g1-10,2739
87,4,s,g1-11,3125
88,5,i,g0-00,2
89,5,i,g0-01,3
90,5,i,g0-10,4
91,5,i,g0-11,1
92,5,i,g1-00,3
93,5,i,g1-01,8
94,5,i,g1-10,3
95,5,i,g1-11,10
96,5,r,g0-00,2
97,5,r,g0-01,1
98,5,r,g0-10,1
99,5,r,g0-11,3
100,5,r,g1-00,2
101,5,r,g1-01,3
102,5,r,g1-10,5
103,5,r,g1-11,3
104,5,s,g0-00,1168
105,5,s,g0-01,787
106,5,s,g0-10,1238
107,5,s,g0-11,843
108,5,s,g1-00,2823
109,5,s,g1-01,3198
110,5,s,g1-10,2749
111,5,s,g1-11,3140
112,6,i,g0-00,5
113,6,i,g0-01,7
114,6,i,g0-10,2
115,6,i,g0-11,6
116,6,i,g1-00,1
117,6,i,g1-01,4
118,6,i,g1-10,4
119,6,i,g1-11,11
120,6,r,g0-00,2
121,6,r,g0-10,2
122,6,r,g0-11,1
123,6,r,g1-00,2
124,6,r,g1-01,6
125,6,r,g1-10,5
126,6,r,g1-11,6
127,6,s,g0-00,1191
128,6,s,g0-01,810
129,6,s,g0-10,1235
130,6,s,g0-11,819
131,6,s,g1-00,2799
132,6,s,g1-01,3173
133,6,s,g1-10,2752
134,6,s,g1-11,3157
135,7,i,g0-00,3
136,7,i,g0-01,7
137,7,i,g0-10,6
138,7,i,g0-11,8
139,7,i,g1-00,3
140,7,i,g1-01,10
141,7,i,g1-10,2
142,7,i,g1-11,8
143,7,r,g0-00,2
144,7,r,g0-01,1
145,7,r,g0-10,1
146,7,r,g0-11,4
147,7,r,g1-00,3
148,7,r,g1-01,5
149,7,r,g1-10,6
150,7,r,g1-11,5
151,7,s,g0-00,1197
152,7,s,g0-01,845
153,7,s,g0-10,1202
154,7,s,g0-11,818
155,7,s,g1-00,2792
156,7,s,g1-01,3132
157,7,s,g1-10,2783
158,7,s,g1-11,3157
