,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,1
2,0,i,g0-10,3
3,0,i,g0-11,1
4,0,i,g1-00,1
5,0,i,g1-01,3
6,0,i,g1-10,1
7,0,i,g1-11,3
8,0,s,g0-00,592
9,0,s,g0-01,413
10,0,s,g0-10,1766
11,0,s,g0-11,1284
12,0,s,g1-00,1404
13,0,s,g1-01,1583
14,0,s,g1-10,4230
15,0,s,g1-11,4712
16,1,i,g0-00,2
17,1,i,g0-01,1
18,1,i,g0-10,2
19,1,i,g0-11,1
20,1,i,g1-00,2
21,1,i,g1-01,3
22,1,i,g1-10,3
23,1,i,g1-11,3
24,1,r,g1-00,1
25,1,r,g1-01,1
26,1,r,g1-11,1
27,1,s,g0-00,628
28,1,s,g0-01,439
29,1,s,g0-10,1796
30,1,s,g0-11,1225
31,1,s,g1-00,1367
32,1,s,g1-01,1556
33,1,s,g1-10,4199
34,1,s,g1-11,4770
35,2,i,g0-00,2
36,2,i,g0-10,3
37,2,i,g0-11,2
38,2,i,g1-00,1
39,2,i,g1-01,3
40,2,i,g1-10,4
41,2,i,g1-11,8
42,2,r,g0-00,1
43,2,r,g0-11,1
44,2,r,g1-00,1
45,2,r,g1-01,2
46,2,r,g1-11,1
47,2,s,g0-00,620
48,2,s,g0-01,413
49,2,s,g0-10,1812
50,2,s,g0-11,1229
51,2,s,g1-00,1375
52,2,s,g1-01,1582
53,2,s,g1-10,4181
54,2,s,g1-11,4759
55,3,i,g0-00,2
56,3,i,g0-01,1
57,3,i,g0-10,11
58,3,i,g0-11,7
59,3,i,g1-01,3
60,3,i,g1-10,6
61,3,i,g1-11,9
62,3,r,g0-00,3
63,3,r,g0-11,1
64,3,r,g1-00,1
65,3,r,g1-01,3
66,3,r,g1-11,3
67,3,s,g0-00,608
68,3,s,g0-01,406
69,3,s,g0-10,1806
70,3,s,g0-11,1189
71,3,s,g1-00,1386
72,3,s,g1-01,1587
73,3,s,g1-10,4177
74,3,s,g1-11,4791
75,4,i,g0-00,1
76,4,i,g0-01,1
77,4,i,g0-10,13
78,4,i,g0-11,6
79,4,i,g1-00,1
80,4,i,g1-01,3
81,4,i,g1-10,6
82,4,i,g1-11,12
83,4,r,g0-00,1
84,4,r,g0-01,3
85,4,r,g1-00,4
86,4,r,g1-01,1
87,4,r,g1-10,1
88,4,r,g1-11,7
89,4,s,g0-00,595
90,4,s,g0-01,414
91,4,s,g0-10,1769
92,4,s,g0-11,1239
93,4,s,g1-00,1398
94,4,s,g1-01,1578
95,4,s,g1-10,4211
96,4,s,g1-11,4736
97,5,i,g0-00,2
98,5,i,g0-01,2
99,5,i,g0-10,7
100,5,i,g0-11,7
101,5,i,g1-01,4
102,5,i,g1-10,13
103,5,i,g1-11,14
104,5,r,g0-00,1
105,5,r,g0-01,1
106,5,r,g0-10,1
107,5,r,g0-11,2
108,5,r,g1-00,4
109,5,r,g1-01,3
110,5,r,g1-10,2
111,5,r,g1-11,8
112,5,s,g0-00,615
113,5,s,g0-01,427
114,5,s,g0-10,1809
115,5,s,g0-11,1227
116,5,s,g1-00,1378
117,5,s,g1-01,1563
118,5,s,g1-10,4168
119,5,s,g1-11,4742
120,6,i,g0-00,2
121,6,i,g0-01,2
122,6,i,g0-10,14
123,6,i,g0-11,5
124,6,i,g1-00,3
125,6,i,g1-01,5
126,6,i,g1-10,11
127,6,i,g1-11,18
128,6,r,g0-00,4
