,time,infection_status,risk_group,count
0,0,i,g0-00,1
1,0,i,g0-01,1
2,0,i,g0-10,1
3,0,i,g1-00,3
4,0,i,g1-01,3
5,0,i,g1-10,3
6,0,i,g1-11,4
7,0,s,g0-00,1166
8,0,s,g0-01,824
9,0,s,g0-10,1239
10,0,s,g0-11,801
11,0,s,g1-00,2830
12,0,s,g1-01,3172
13,0,s,g1-10,2757
14,0,s,g1-11,3195
15,1,i,g0-00,2
16,1,i,g0-10,1
17,1,i,g0-11,3
18,1,i,g1-00,2
19,1,i,g1-01,2
20,1,i,g1-10,3
21,1,i,g1-11,2
22,1,r,g1-00,2
23,1,r,g1-01,2
24,1,s,g0-00,1191
25,1,s,g0-01,778
26,1,s,g0-10,1163
27,1,s,g0-11,826
28,1,s,g1-00,2803
29,1,s,g1-01,3218
30,1,s,g1-10,2833
31,1,s,g1-11,3169
32,2,i,g0-00,3
33,2,i,g0-01,1
34,2,i,g0-10,2
35,2,i,g0-11,1
36,2,i,g1-00,2
37,2,i,g1-01,1
38,2,i,g1-10,2
39,2,i,g1-11,3
40,2,r,g0-00,1
41,2,r,g1-00,1
42,2,r,g1-01,3
43,2,r,g1-11,2
44,2,s,g0-00,1191
45,2,s,g0-01,842
46,2,s,g0-10,1219
47,2,s,g0-11,784
48,2,s,g1-00,2802
49,2,s,g1-01,3153
50,2,s,g1-10,2777
51,2,s,g1-11,3210
52,3,i,g0-00,4
53,3,i,g0-10,3
54,3,i,g0-11,2
55,3,i,g1-00,2
56,3,i,g1-01,3
57,3,i,g1-10,2
58,3,i,g1-11,5
59,3,r,g0-00,1
60,3,r,g0-01,2
61,3,r,g0-11,1
62,3,r,g1-00,2
63,3,r,g1-01,1
64,3,r,g1-11,1
65,3,s,g0-00,1223
66,3,s,g0-01,838
67,3,s,g0-10,1168
68,3,s,g0-11,788
69,3,s,g1-00,2768
70,3,s,g1-01,3156
71,3,s,g1-10,2827
72,3,s,g1-11,3203
73,4,i,g0-00,3
74,4,i,g0-10,4
75,4,i,g0-11,3
76,4,i,g1-00,3
77,4,i,g1-01,3
78,4,i,g1-10,2
79,4,i,g1-11,7
80,4,r,g0-11,1
81,4,r,g1-00,4
82,4,r,g1-01,4
83,4,r,g1-10,2
84,4,r,g1-11,2
85,4,s,g0-00,1206
86,4,s,g0-01,842
87,4,s,g0-10,1179
88,4,s,g0-11,821
89,4,s,g1-00,2784
