,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,2
2,0,i,g0-10,3
3,0,i,g0-11,3
4,0,i,g1-00,1
5,0,i,g1-01,2
6,0,i,g1-10,1
7,0,i,g1-11,1
8,0,s,g0-00,1197
9,0,s,g0-01,799
10,0,s,g0-10,1177
11,0,s,g0-11,774
12,0,s,g1-00,2799
13,0,s,g1-01,3197
14,0,s,g1-10,2819
15,0,s,g1-11,3222
16,1,i,g0-00,2
17,1,i,g0-01,4
18,1,i,g0-10,1
19,1,i,g0-11,1
20,1,i,g1-00,2
21,1,i,g1-01,3
22,1,i,g1-10,2
23,1,i,g1-11,3
24,1,r,g1-10,1
25,1,r,g1-11,1
26,1,s,g0-00,1211
27,1,s,g0-01,801
28,1,s,g0-10,1165
29,1,s,g0-11,801
30,1,s,g1-00,2785
31,1,s,g1-01,3192
32,1,s,g1-10,2831
33,1,s,g1-11,3194
34,2,i,g0-00,3
35,2,i,g0-01,2
36,2,i,g0-10,2
37,2,i,g0-11,2
38,2,i,g1-00,3
39,2,i,g1-01,4
40,2,i,g1-10,1
41,2,i,g1-11,2
42,2,r,g0-10,1
43,2,r,g0-11,1
44,2,r,g1-00,1
45,2,r,g1-01,2
46,2,r,g1-11,1
47,2,s,g0-00,1205
48,2,s,g0-01,890
49,2,s,g0-10,1199
50,2,s,g0-11,793
51,2,s,g1-00,2788
52,2,s,g1-01,3102
53,2,s,g1-10,2797
54,2,s,g1-11,3201
55,3,i,g0-00,4
56,3,i,g0-01,3
57,3,i,g0-10,2
58,3,i,g0-11,1
59,3,i,g1-00,3
60,3,i,g1-01,3
61,3,i,g1-10,2
62,3,i,g1-11,2
63,3,r,g0-01,1
64,3,r,g0-10,1
65,3,r,g0-11,1
66,3,r,g1-00,1
67,3,r,g1-01,3
68,3,r,g1-11,4
69,3,s,g0-00,1235
70,3,s,g0-01,865
71,3,s,g0-10,1186
72,3,s,g0-11,806
73,3,s,g1-00,2757
74,3,s,g1-01,3125
75,3,s,g1-10,2809
76,3,s,g1-11,3186
77,4,i,g0-00,2
78,4,i,g0-01,1
79,4,i,g0-10,2
80,4,i,g0-11,1
81,4,i,g1-00,2
82,4,i,g1-01,4
83,4,i,g1-10,2
84,4,i,g1-11,3
85,4,r,g0-01,1
86,4,r,g0-11,1
87,4,r,g1-00,5
88,4,r,g1-01,6
89,4,r,g1-10,1
90,4,r,g1-11,4
91,4,s,g0-00,1216
92,4,s,g0-01,800
93,4,s,g0-10,1151
94,4,s,g0-11,819
95,4,s,g1-00,2775
96,4,s,g1-01,3188
