,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-10,3
2,0,i,g1-00,1
3,0,i,g1-01,4
4,0,i,g1-10,1
5,0,i,g1-11,4
6,0,s,g0-00,1193
7,0,s,g0-01,854
8,0,s,g0-10,1261
9,0,s,g0-11,850
10,0,s,g1-00,2803
11,0,s,g1-01,3142
12,0,s,g1-10,2735
13,0,s,g1-11,3146
14,1,i,g0-00,2
15,1,i,g0-01,2
16,1,i,g0-10,3
17,1,i,g0-11,4
18,1,i,g1-00,2
19,1,i,g1-01,5
20,1,i,g1-10,2
21,1,i,g1-11,3
22,1,r,g1-10,1
23,1,s,g0-00,1201
24,1,s,g0-01,812
25,1,s,g0-10,1162
26,1,s,g0-11,837
27,1,s,g1-00,2795
28,1,s,g1-01,3181
29,1,s,g1-10,2832
30,1,s,g1-11,3156
31,2,i,g0-00,4
32,2,i,g0-01,5
33,2,i,g0-10,4
34,2,i,g0-11,5
35,2,i,g1-00,1
36,2,i,g1-01,5
37,2,i,g1-10,4
38,2,i,g1-11,2
39,2,r,g1-00,1
40,2,r,g1-10,1
41,2,r,g1-11,2
42,2,s,g0-00,1206
43,2,s,g0-01,846
44,2,s,g0-10,1166
45,2,s,g0-11,858
46,2,s,g1-00,2788
47,2,s,g1-01,3144
48,2,s,g1-10,2825
49,2,s,g1-11,3133
50,3,i,g0-00,2
51,3,i,g0-01,7
52,3,i,g0-10,3
53,3,i,g0-11,3
54,3,i,g1-00,5
55,3,i,g1-01,4
56,3,i,g1-10,5
57,3,i,g1-11,4
58,3,r,g0-10,1
59,3,r,g1-00,1
60,3,r,g1-10,2
61,3,r,g1-11,6
62,3,s,g0-00,1165
63,3,s,g0-01,837
64,3,s,g0-10,1204
65,3,s,g0-11,792
66,3,s,g1-00,2827
67,3,s,g1-01,3152
68,3,s,g1-10,2785
69,3,s,g1-11,3195
70,4,i,g0-00,5
71,4,i,g0-01,1
72,4,i,g0-10,5
73,4,i,g0-11,3
74,4,i,g1-00,6
75,4,i,g1-01,8
76,4,i,g1-10,5
77,4,i,g1-11,7
78,4,r,g0-01,1
79,4,r,g0-10,2
80,4,r,g0-11,2
81,4,r,g1-00,1
82,4,r,g1-01,1
83,4,r,g1-10,3
84,4,r,g1-11,5
85,4,s,g0-00,1190
86,4,s,g0-01,848
87,4,s,g0-10,1196
88,4,s,g0-11,824
89,4,s,g1-00,2798
90,4,s,g1-01,3141
91,4,s,g1-10,2789
92,4,s,g1-11,3159
93,5,i,g0-00,7
94,5,i,g0-01,5
95,5,i,g0-10,4
96,5,i,g0-11,8
97,5,i,g1-00,4
98,5,i,g1-01,7
99,5,i,g1-10,6
100,5,i,g1-11,7
101,5,r,g0-00,1
102,5,r,g0-10,1
103,5,r,g0-11,5
104,5,r,g1-00,2
105,5,r,g1-01,2
106,5,r,g1-10,5
107,5,r,g1-11,4
108,5,s,g0-00,1171
109,5,s,g0-01,808
110,5,s,g0-10,1220
