,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-10,1
2,0,i,g0-11,2
3,0,i,g1-00,1
4,0,i,g1-01,4
5,0,i,g1-10,3
6,0,i,g1-11,2
7,0,s,g0-00,1232
8,0,s,g0-01,873
9,0,s,g0-10,1213
10,0,s,g0-11,844
11,0,s,g1-00,2764
12,0,s,g1-01,3123
13,0,s,g1-10,2783
14,0,s,g1-11,3152
15,1,i,g0-00,2
16,1,i,g0-01,2
17,1,i,g0-11,1
18,1,i,g1-00,1
19,1,i,g1-01,4
20,1,i,g1-10,4
21,1,i,g1-11,2
22,1,r,g0-00,1
23,1,r,g1-01,1
24,1,r,g1-11,1
25,1,s,g0-00,1203
26,1,s,g0-01,820
27,1,s,g0-10,1228
28,1,s,g0-11,852
29,1,s,g1-00,2793
30,1,s,g1-01,3173
31,1,s,g1-10,2768
32,1,s,g1-11,3144
33,2,i,g0-00,1
34,2,i,g1-00,2
35,2,i,g1-01,6
36,2,i,g1-10,5
37,2,i,g1-11,3
38,2,r,g0-01,2
39,2,r,g1-00,1
40,2,r,g1-01,1
41,2,r,g1-11,2
42,2,s,g0-00,1173
43,2,s,g0-01,798
44,2,s,g0-10,1181
45,2,s,g0-11,831
46,2,s,g1-00,2823
47,2,s,g1-01,3193
48,2,s,g1-10,2814
49,2,s,g1-11,3164
50,3,i,g0-00,2
51,3,i,g0-10,4
52,3,i,g0-11,3
53,3,i,g1-00,3
54,3,i,g1-01,8
55,3,i,g1-10,3
56,3,i,g1-11,2
57,3,r,g0-11,1
58,3,r,g1-00,1
59,3,r,g1-01,3
60,3,r,g1-11,1
61,3,s,g0-00,1143
62,3,s,g0-01,814
63,3,s,g0-10,1158
64,3,s,g0-11,815
65,3,s,g1-00,2851
66,3,s,g1-01,3175
67,3,s,g1-10,2835
68,3,s,g1-11,3178
69,4,i,g0-00,4
70,4,i,g0-01,1
71,4,i,g0-10,5
72,4,i,g0-11,2
73,4,i,g1-01,4
74,4,i,g1-10,1
75,4,i,g1-11,6
76,4,r,g0-01,1
77,4,r,g0-10,1
78,4,r,g1-00,2
79,4,r,g1-01,5
80,4,r,g1-11,3
81,4,s,g0-00,1222
82,4,s,g0-01,863
83,4,s,g0-10,1188
84,4,s,g0-11,856
85,4,s,g1-00,2772
86,4,s,g1-01,3126
87,4,s,g1-10,2805
88,4,s,g1-11,3133
89,5,i,g0-00,2
90,5,i,g0-01,1
91,5,i,g0-10,7
92,5,i,g0-11,5
93,5,i,g1-00,2
94,5,i,g1-01,4
95,5,i,g1-10,2
96,5,i,g1-11,3
97,5,r,g0-00,1
98,5,r,g0-01,2
99,5,r,g1-00,2
100,5,r,g1-01,4
101,5,r,g1-10,2
102,5,r,g1-11,3
103,5,s,g0-00,1184
104,5,s,g0-01,819
105,5,s,g0-10,1206
