,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,3
2,0,i,g0-10,1
3,0,i,g0-11,1
4,0,i,g1-00,1
5,0,i,g1-01,1
6,0,i,g1-10,3
7,0,i,g1-11,3
8,0,s,g0-00,1209
9,0,s,g0-01,802
10,0,s,g0-10,1245
11,0,s,g0-11,861
12,0,s,g1-00,2787
13,0,s,g1-01,3194
14,0,s,g1-10,2751
15,0,s,g1-11,3135
16,1,i,g0-00,3
17,1,i,g0-01,1
18,1,i,g0-10,3
19,1,i,g0-11,5
20,1,i,g1-00,1
21,1,i,g1-01,2
22,1,i,g1-10,3
23,1,i,g1-11,1
24,1,r,g1-00,1
25,1,r,g1-01,2
26,1,s,g0-00,1183
27,1,s,g0-01,825
28,1,s,g0-10,1164
29,1,s,g0-11,822
30,1,s,g1-00,2812
31,1,s,g1-01,3170
32,1,s,g1-10,2830
33,1,s,g1-11,3172
34,2,i,g0-00,2
35,2,i,g0-01,1
36,2,i,g0-10,2
37,2,i,g0-11,2
38,2,i,g1-00,1
39,2,i,g1-10,3
40,2,i,g1-11,4
41,2,r,g0-00,1
42,2,r,g0-10,1
43,2,r,g1-00,2
44,2,r,g1-01,4
45,2,r,g1-10,1
46,2,r,g1-11,1
47,2,s,g0-00,1188
48,2,s,g0-01,865
49,2,s,g0-10,1138
50,2,s,g0-11,825
51,2,s,g1-00,2806
52,2,s,g1-01,3130
53,2,s,g1-10,2855
54,2,s,g1-11,3168
55,3,i,g0-00,2
56,3,i,g0-01,2
57,3,i,g0-10,1
58,3,i,g1-00,1
59,3,i,g1-10,2
60,3,i,g1-11,9
61,3,r,g0-00,2
62,3,r,g0-01,1
63,3,r,g0-10,1
64,3,r,g1-00,1
65,3,r,g1-01,4
66,3,r,g1-10,3
67,3,r,g1-11,1
68,3,s,g0-00,1168
69,3,s,g0-01,785
70,3,s,g0-10,1187
71,3,s,g0-11,868
72,3,s,g1-00,2826
73,3,s,g1-01,3208
74,3,s,g1-10,2806
75,3,s,g1-11,3122
76,4,i,g0-00,3
77,4,i,g0-01,2
78,4,i,g0-10,2
79,4,i,g0-11,7
80,4,i,g1-00,2
81,4,i,g1-01,1
82,4,i,g1-10,1
83,4,i,g1-11,5
84,4,r,g0-10,1
85,4,r,g1-00,3
86,4,r,g1-01,5
87,4,r,g1-10,3
88,4,r,g1-11,1
89,4,s,g0-00,1179
90,4,s,g0-01,797
91,4,s,g0-10,1180
92,4,s,g0-11,828
93,4,s,g1-00,2813
94,4,s,g1-01,3195
