,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-10,3
2,0,i,g0-11,1
3,0,i,g1-00,2
4,0,i,g1-01,4
5,0,i,g1-10,1
6,0,i,g1-11,3
7,0,s,g0-00,1191
8,0,s,g0-01,778
9,0,s,g0-10,1218
10,0,s,g0-11,835
11,0,s,g1-00,2805
12,0,s,g1-01,3218
13,0,s,g1-10,2778
14,0,s,g1-11,3161
15,1,i,g0-00,4
16,1,i,g0-10,3
17,1,i,g0-11,1
18,1,i,g1-00,1
19,1,i,g1-01,4
20,1,i,g1-10,2
21,1,i,g1-11,2
22,1,r,g1-01,1
23,1,r,g1-11,1
24,1,s,g0-00,1163
25,1,s,g0-01,815
26,1,s,g0-10,1217
27,1,s,g0-11,855
28,1,s,g1-00,2832
29,1,s,g1-01,3180
30,1,s,g1-10,2778
31,1,s,g1-11,3141
32,2,i,g0-00,2
33,2,i,g0-01,1
34,2,i,g0-10,2
35,2,i,g0-11,3
36,2,i,g1-00,5
37,2,i,g1-01,3
38,2,i,g1-10,2
39,2,r,g0-01,1
40,2,r,g1-10,1
41,2,r,g1-11,1
42,2,s,g0-00,1195
43,2,s,g0-01,831
44,2,s,g0-10,1263
45,2,s,g0-11,830
46,2,s,g1-00,2798
47,2,s,g1-01,3164
48,2,s,g1-10,2732
49,2,s,g1-11,3166
50,3,i,g0-00,8
51,3,i,g0-01,4
52,3,i,g0-10,4
53,3,i,g0-11,1
54,3,i,g1-00,1
55,3,i,g1-01,1
56,3,i,g1-10,1
57,3,i,g1-11,2
58,3,r,g0-01,1
59,3,r,g1-00,1
60,3,r,g1-01,1
61,3,r,g1-10,1
62,3,r,g1-11,1
63,3,s,g0-00,1205
64,3,s,g0-01,857
65,3,s,g0-10,1109
66,3,s,g0-11,829
67,3,s,g1-00,2785
68,3,s,g1-01,3136
69,3,s,g1-10,2885
70,3,s,g1-11,3167
71,4,i,g0-00,6
72,4,i,g0-01,3
73,4,i,g0-10,3
74,4,i,g0-11,2
75,4,i,g1-00,2
76,4,i,g1-01,2
77,4,i,g1-10,2
78,4,i,g1-11,2
79,4,r,g0-00,1
80,4,r,g0-10,1
81,4,r,g1-00,1
82,4,r,g1-01,2
83,4,r,g1-10,2
84,4,r,g1-11,1
85,4,s,g0-00,1217
86,4,s,g0-01,841
87,4,s,g0-10,1200
88,4,s,g0-11,775
89,4,s,g1-00,2773
90,4,s,g1-01,3152
91,4,s,g1-10,2792
92,4,s,g1-11,3220
93,5,i,g0-00,5
94,5,i,g0-01,1
95,5,i,g0-10,3
96,5,i,g0-11,1
97,5,i,g1-00,2
98,5,i,g1-01,3
99,5,i,g1-10,3
100,5,i,g1-11,3
101,5,r,g0-00,1
102,5,r,g1-00,2
103,5,r,g1-01,3
104,5,r,g1-10,4
105,5,r,g1-11,2
106,5,s,g0-00,1233
107,5,s,g0-01,821
108,5,s,g0-10,1225
109,5,s,g0-11,825
110,5,s,g1-00,2757
111,5,s,g1-01,3172
112,5,s,g1-10,2765
113,5,s,g1-11,3169
114,6,i,g0-00,3
115,6,i,g0-10,4
116,6,i,g0-11,1
117,6,i,g1-00,4
118,6,i,g1-01,4
119,6,i,g1-10,2
