,time,infection_status,risk_group,count
0,0,i,g0-00,1
1,0,i,g0-01,1
2,0,i,g0-10,2
3,0,i,g1-00,3
4,0,i,g1-01,3
5,0,i,g1-10,2
6,0,i,g1-11,4
7,0,s,g0-00,1199
8,0,s,g0-01,793
9,0,s,g0-10,1186
10,0,s,g0-11,829
11,0,s,g1-00,2797
12,0,s,g1-01,3203
13,0,s,g1-10,2810
14,0,s,g1-11,3167
15,1,i,g0-00,3
16,1,i,g0-10,2
17,1,i,g0-11,1
18,1,i,g1-00,2
19,1,i,g1-01,3
20,1,i,g1-10,3
21,1,i,g1-11,6
22,1,r,g1-01,1
23,1,s,g0-00,1201
24,1,s,g0-01,783
25,1,s,g0-10,1182
26,1,s,g0-11,753
27,1,s,g1-00,2794
28,1,s,g1-01,3213
29,1,s,g1-10,2813
30,1,s,g1-11,3240
31,2,i,g0-00,4
32,2,i,g0-01,1
33,2,i,g0-10,4
34,2,i,g0-11,3
35,2,i,g1-00,3
36,2,i,g1-01,1
37,2,i,g1-10,2
38,2,i,g1-11,5
39,2,r,g1-01,3
40,2,r,g1-10,1
41,2,s,g0-00,1281
42,2,s,g0-01,806
43,2,s,g0-10,1195
44,2,s,g0-11,818
45,2,s,g1-00,2712
46,2,s,g1-01,3189
47,2,s,g1-10,2798
48,2,s,g1-11,3174
49,3,i,g0-00,8
50,3,i,g0-01,3
51,3,i,g0-10,3
52,3,i,g0-11,2
53,3,i,g1-00,1
54,3,i,g1-01,1
55,3,i,g1-10,4
56,3,i,g1-11,6
57,3,r,g0-00,1
58,3,r,g1-01,3
59,3,r,g1-10,1
60,3,r,g1-11,3
61,3,s,g0-00,1188
62,3,s,g0-01,858
63,3,s,g0-10,1194
64,3,s,g0-11,797
65,3,s,g1-00,2802
66,3,s,g1-01,3135
67,3,s,g1-10,2798
68,3,s,g1-11,3192
69,4,i,g0-00,6
70,4,i,g0-01,1
71,4,i,g0-10,2
72,4,i,g0-11,7
73,4,i,g1-00,2
74,4,i,g1-01,3
75,4,i,g1-10,6
76,4,i,g1-11,3
77,4,r,g0-00,1
78,4,r,g0-10,2
79,4,r,g0-11,1
80,4,r,g1-00,2
81,4,r,g1-01,4
82,4,r,g1-11,2
83,4,s,g0-00,1211
84,4,s,g0-01,812
85,4,s,g0-10,1179
86,4,s,g0-11,765
87,4,s,g1-00,2778
88,4,s,g1-01,3180
89,4,s,g1-10,2811
