,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1247
9,0,s,g0-01,846
10,0,s,g0-10,1202
11,0,s,g0-11,755
12,0,s,g1-00,2749
13,0,s,g1-01,3150
14,0,s,g1-10,2794
15,0,s,g1-11,3241
16,1,i,g0-00,3
17,1,i,g0-01,4
18,1,i,g0-10,1
19,1,i,g0-11,1
20,1,i,g1-00,1
21,1,i,g1-10,3
22,1,i,g1-11,3
23,1,r,g1-01,1
24,1,s,g0-00,1169
25,1,s,g0-01,822
26,1,s,g0-10,1189
27,1,s,g0-11,818
28,1,s,g1-00,2827
29,1,s,g1-01,3173
30,1,s,g1-10,2807
31,1,s,g1-11,3178
32,2,i,g0-00,4
33,2,i,g0-01,1
34,2,i,g0-10,1
35,2,i,g0-11,3
36,2,i,g1-01,4
37,2,i,g1-10,3
38,2,i,g1-11,8
39,2,r,g0-10,1
40,2,r,g1-01,1
41,2,r,g1-10,2
42,2,s,g0-00,1144
43,2,s,g0-01,833
44,2,s,g0-10,1176
45,2,s,g0-11,787
46,2,s,g1-00,2852
47,2,s,g1-01,3161
48,2,s,g1-10,2817
49,2,s,g1-11,3202
50,3,i,g0-00,2
51,3,i,g0-01,2
52,3,i,g0-10,5
53,3,i,g0-11,6
54,3,i,g1-00,3
55,3,i,g1-01,4
56,3,i,g1-10,1
57,3,i,g1-11,8
58,3,r,g0-10,2
59,3,r,g1-01,2
60,3,r,g1-10,2
61,3,r,g1-11,1
62,3,s,g0-00,1229
63,3,s,g0-01,819
64,3,s,g0-10,1210
65,3,s,g0-11,869
66,3,s,g1-00,2766
67,3,s,g1-01,3173
68,3,s,g1-10,2780
69,3,s,g1-11,3116
70,4,i,g0-00,4
71,4,i,g0-01,4
72,4,i,g0-10,2
73,4,i,g0-11,8
74,4,i,g1-00,2
75,4,i,g1-01,3
76,4,i,g1-10,5
77,4,i,g1-11,5
78,4,r,g0-01,1
79,4,r,g1-00,1
80,4,r,g1-01,2
81,4,r,g1-10,5
82,4,r,g1-11,3
83,4,s,g0-00,1204
84,4,s,g0-01,828
85,4,s,g0-10,1255
86,4,s,g0-11,822
87,4,s,g1-00,2789
88,4,s,g1-01,3162
89,4,s,g1-10,2733
90,4,s,g1-11,3162
91,5,i,g0-00,4
92,5,i,g0-01,4
93,5,i,g0-10,3
94,5,i,g0-11,6
95,5,i,g1-00,2
96,5,i,g1-01,5
97,5,i,g1-10,4
98,5,i,g1-11,6
99,5,r,g0-00,1
100,5,r,g0-10,2
101,5,r,g1-00,1
102,5,r,g1-01,4
103,5,r,g1-10,4
104,5,r,g1-11,4
105,5,s,g0-00,1206
106,5,s,g0-01,796
107,5,s,g0-10,1202
108,5,s,g0-11,823
109,5,s,g1-00,2786
110,5,s,g1-01,3191
111,5,s,g1-10,2785
112,5,s,g1-11,3161
113,6,i,g0-00,4
114,6,i,g0-01,2
115,6,i,g0-10,6
116,6,i,g0-11,9
117,6,i,g1-00,2
118,6,i,g1-01,9
119,6,i,g1-10,3
120,6,i,g1-11,6
121,6,r,g0-00,2
122,6,r,g0-11,1
123,6,r,g1-00,1
124,6,r,g1-01,4
125,6,r,g1-10,6
126,6,r,g1-11,4
127,6,s,g0-00,1183
128,6,s,g0-01,828
129,6,s,g0-10,1185
130,6,s,g0-11,867
131,6,s,g1-00,2808
132,6,s,g1-01,3157
133,6,s,g1-10,2800
134,6,s,g1-11,3113
135,7,i,g0-00,2
136,7,i,g0-01,6
137,7,i,g0-10,6
138,7,i,g0-11,10
139,7,i,g1-00,4
140,7,i,g1-01,8
141,7,i,g1-10,5
142,7,i,g1-11,11
143,7,r,g0-00,3
144,7,r,g0-01,4
145,7,r,g0-10,6
146,7,r,g1-00,2
147,7,r,g1-01,1
148,7,r,g1-10,3
149,7,r,g1-11,6
150,7,s,g0-00,1204
151,7,s,g0-01,833
152,7,s,g0-10,1202
153,7,s,g0-11,819
154,7,s,g1-00,2785
155,7,s,g1-01,3148
156,7,s,g1-10,2778
157,7,s,g1-11,3154
158,8,i,g0-00,7
