,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,2
2,0,i,g0-10,4
3,0,i,g0-11,2
4,0,i,g1-00,1
5,0,i,g1-01,2
6,0,i,g1-11,2
7,0,s,g0-00,1176
8,0,s,g0-01,810
9,0,s,g0-10,1222
10,0,s,g0-11,811
11,0,s,g1-00,2820
12,0,s,g1-01,3186
13,0,s,g1-10,2774
14,0,s,g1-11,3185
15,1,i,g0-00,3
16,1,i,g0-01,2
17,1,i,g0-10,4
18,1,i,g0-11,3
19,1,i,g1-01,3
20,1,i,g1-10,1
21,1,i,g1-11,3
22,1,r,g0-01,1
23,1,r,g1-00,1
24,1,s,g0-00,1203
25,1,s,g0-01,859
26,1,s,g0-10,1191
27,1,s,g0-11,855
28,1,s,g1-00,2793
29,1,s,g1-01,3135
30,1,s,g1-10,2804
31,1,s,g1-11,3139
32,2,i,g0-00,3
33,2,i,g0-01,5
34,2,i,g0-10,3
35,2,i,g0-11,4
36,2,i,g1-00,1
37,2,i,g1-01,6
38,2,i,g1-10,2
39,2,i,g1-11,2
40,2,r,g0-00,1
41,2,r,g1-00,1
42,2,r,g1-01,2
43,2,s,g0-00,1214
44,2,s,g0-01,803
45,2,s,g0-10,1210
46,2,s,g0-11,878
47,2,s,g1-00,2780
48,2,s,g1-01,3184
49,2,s,g1-10,2785
50,2,s,g1-11,3116
51,3,i,g0-00,4
52,3,i,g0-01,7
53,3,i,g0-10,3
54,3,i,g0-11,1
55,3,i,g1-00,1
56,3,i,g1-01,4
57,3,i,g1-10,1
58,3,i,g1-11,4
59,3,r,g0-00,1
60,3,r,g0-01,2
61,3,r,g1-00,2
62,3,r,g1-01,3
63,3,r,g1-10,1
64,3,r,g1-11,2
65,3,s,g0-00,1166
66,3,s,g0-01,820
67,3,s,g0-10,1217
68,3,s,g0-11,820
69,3,s,g1-00,2826
70,3,s,g1-01,3164
71,3,s,g1-10,2778
72,3,s,g1-11,3173
73,4,i,g0-00,5
74,4,i,g0-01,5
75,4,i,g0-10,3
76,4,i,g0-11,5
77,4,i,g1-00,1
78,4,i,g1-01,7
79,4,i,g1-10,3
80,4,i,g1-11,3
81,4,r,g0-01,3
82,4,r,g1-00,3
83,4,r,g1-01,4
84,4,r,g1-10,1
85,4,r,g1-11,2
86,4,s,g0-00,1168
87,4,s,g0-01,816
88,4,s,g0-10,1178
89,4,s,g0-11,868
90,4,s,g1-00,2823
91,4,s,g1-01,3165
92,4,s,g1-10,2815
93,4,s,g1-11,3122
94,5,i,g0-00,6
95,5,i,g0-01,7
96,5,i,g0-10,3
