time,infection_status,risk_group,count,model
0,i,g0-00,2.3,60%
0,i,g0-01,1.625,60%
0,i,g0-10,2.2222222222222223,60%
0,i,g0-11,1.8,60%
0,i,g1-00,1.7,60%
0,i,g1-01,2.7,60%
0,i,g1-10,2.0,60%
0,i,g1-11,2.2,60%
0,s,g0-00,1198.3,60%
0,s,g0-01,822.1,60%
0,s,g0-10,1204.5,60%
0,s,g0-11,822.7,60%
0,s,g1-00,2797.7,60%
0,s,g1-01,3173.9,60%
0,s,g1-10,2791.5,60%
0,s,g1-11,3173.3,60%
1,i,g0-00,2.7,60%
1,i,g0-01,2.0,60%
1,i,g0-10,2.9,60%
1,i,g0-11,2.3,60%
1,i,g1-00,1.8888888888888888,60%
1,i,g1-01,2.8,60%
1,i,g1-10,2.25,60%
1,i,g1-11,2.4,60%
1,r,g0-00,1.0,60%
1,r,g0-01,1.0,60%
1,r,g0-10,1.0,60%
1,r,g1-01,1.5,60%
1,r,g1-10,1.0,60%
1,r,g1-11,1.0,60%
1,s,g0-00,1209.2,60%
1,s,g0-01,830.4,60%
1,s,g0-10,1199.4,60%
1,s,g0-11,817.9,60%
1,s,g1-00,2786.2,60%
1,s,g1-01,3164.8,60%
1,s,g1-10,2795.6,60%
1,s,g1-11,3177.0,60%
2,i,g0-00,3.0,60%
2,i,g0-01,2.5555555555555554,60%
2,i,g0-10,2.5,60%
2,i,g0-11,3.0,60%
2,i,g1-00,2.0,60%
2,i,g1-01,2.3,60%
2,i,g1-10,1.6666666666666667,60%
2,i,g1-11,2.7142857142857144,60%
2,r,g0-01,1.0,60%
2,r,g0-10,1.0,60%
2,r,g0-11,1.0,60%
2,r,g1-00,1.6666666666666667,60%
2,r,g1-01,1.6666666666666667,60%
2,r,g1-10,1.1428571428571428,60%
2,r,g1-11,1.3333333333333333,60%
2,s,g0-00,1190.6,60%
2,s,g0-01,829.4,60%
2,s,g0-10,1215.2,60%
2,s,g0-11,818.1,60%
2,s,g1-00,2804.2,60%
2,s,g1-01,3165.2,60%
2,s,g1-10,2779.5,60%
2,s,g1-11,3176.3,60%
3,i,g0-00,3.111111111111111,60%
3,i,g0-01,2.7142857142857144,60%
3,i,g0-10,2.0,60%
3,i,g0-11,2.4,60%
3,i,g1-00,1.8888888888888888,60%
3,i,g1-01,3.4,60%
3,i,g1-10,2.5,60%
3,i,g1-11,2.5555555555555554,60%
3,r,g0-00,1.0,60%
3,r,g0-01,1.0,60%
3,r,g0-10,1.75,60%
3,r,g0-11,1.3333333333333333,60%
3,r,g1-00,1.5,60%
3,r,g1-01,1.8333333333333333,60%
3,r,g1-10,1.2,60%
3,r,g1-11,1.7142857142857142,60%
3,s,g0-00,1201.9,60%
3,s,g0-01,826.8,60%
3,s,g0-10,1185.8,60%
3,s,g0-11,828.2,60%
3,s,g1-00,2792.2,60%
3,s,g1-01,3166.7,60%
3,s,g1-10,2808.2,60%
3,s,g1-11,3165.5,60%
4,i,g0-00,2.6,60%
4,i,g0-01,2.5,60%
4,i,g0-10,2.8,60%
4,i,g0-11,2.111111111111111,60%
4,i,g1-00,2.125,60%
4,i,g1-01,3.5555555555555554,60%
4,i,g1-10,2.2,60%
4,i,g1-11,2.7,60%
4,r,g0-00,1.3333333333333333,60%
4,r,g0-01,1.0,60%
4,r,g0-10,1.0,60%
4,r,g1-00,1.5,60%
4,r,g1-01,1.8888888888888888,60%
4,r,g1-10,2.2222222222222223,60%
4,r,g1-11,2.3,60%
4,s,g0-00,1203.6,60%
4,s,g0-01,828.1,60%
4,s,g0-10,1198.7,60%
4,s,g0-11,813.2,60%
4,s,g1-00,2790.2,60%
4,s,g1-01,3164.9,60%
4,s,g1-10,2793.9,60%
4,s,g1-11,3179.9,60%
5,i,g0-00,2.5555555555555554,60%
5,i,g0-01,2.875,60%
5,i,g0-10,2.5555555555555554,60%
5,i,g0-11,2.625,60%
5,i,g1-00,1.8888888888888888,60%
5,i,g1-01,3.6666666666666665,60%
5,i,g1-10,2.5,60%
5,i,g1-11,3.3,60%
5,r,g0-00,1.6666666666666667,60%
5,r,g0-01,1.0,60%
5,r,g0-10,1.6666666666666667,60%
5,r,g0-11,1.0,60%
5,r,g1-00,2.25,60%
5,r,g1-01,2.2,60%
5,r,g1-10,2.1,60%
5,r,g1-11,2.8,60%
5,s,g0-00,1201.4,60%
5,s,g0-01,823.1,60%
5,s,g0-10,1196.0,60%
5,s,g0-11,815.0,60%
5,s,g1-00,2791.8,60%
5,s,g1-01,3168.7,60%
5,s,g1-10,2796.1,60%
5,s,g1-11,3176.6,60%
6,i,g0-00,2.4444444444444446,60%
6,i,g0-01,2.25,60%
6,i,g0-10,2.75,60%
6,i,g0-11,3.0,60%
6,i,g1-00,3.0,60%
6,i,g1-01,4.2,60%
6,i,g1-10,2.6,60%
6,i,g1-11,3.1,60%
6,r,g0-00,1.625,60%
6,r,g0-01,1.5,60%
6,r,g0-10,2.0,60%
6,r,g0-11,1.3333333333333333,60%
6,r,g1-00,2.111111111111111,60%
