time,infection_status,risk_group,count,model
0,i,g0-00,2.0,60%
0,i,g0-01,1.1666666666666667,60%
0,i,g0-10,1.8888888888888888,60%
0,i,g0-11,1.8,60%
0,i,g1-00,2.0,60%
0,i,g1-01,3.3,60%
0,i,g1-10,2.3,60%
0,i,g1-11,2.2,60%
0,s,g0-00,1191.6,60%
0,s,g0-01,822.4,60%
0,s,g0-10,1199.2,60%
0,s,g0-11,809.3,60%
0,s,g1-00,2804.4,60%
0,s,g1-01,3173.6,60%
0,s,g1-10,2796.8,60%
0,s,g1-11,3186.7,60%
1,i,g0-00,2.111111111111111,60%
1,i,g0-01,2.2,60%
1,i,g0-10,1.8,60%
1,i,g0-11,1.5,60%
1,i,g1-00,2.8,60%
1,i,g1-01,2.9,60%
1,i,g1-10,2.9,60%
1,i,g1-11,3.2,60%
1,r,g0-00,1.0,60%
1,r,g0-01,1.0,60%
1,r,g0-11,2.0,60%
1,r,g1-00,1.25,60%
1,r,g1-01,1.3333333333333333,60%
1,r,g1-10,1.25,60%
1,r,g1-11,1.5,60%
1,s,g0-00,1193.5,60%
1,s,g0-01,824.9,60%
1,s,g0-10,1205.9,60%
1,s,g0-11,830.9,60%
1,s,g1-00,2801.2,60%
1,s,g1-01,3170.6,60%
1,s,g1-10,2788.9,60%
1,s,g1-11,3163.9,60%
2,i,g0-00,2.9,60%
2,i,g0-01,2.0,60%
2,i,g0-10,3.2222222222222223,60%
2,i,g0-11,2.4444444444444446,60%
2,i,g1-00,2.5555555555555554,60%
2,i,g1-01,3.8,60%
2,i,g1-10,3.7777777777777777,60%
2,i,g1-11,4.2,60%
2,r,g0-00,1.0,60%
2,r,g0-01,1.0,60%
2,r,g0-10,1.3333333333333333,60%
2,r,g0-11,1.0,60%
2,r,g1-00,2.0,60%
2,r,g1-01,1.25,60%
2,r,g1-10,1.0,60%
2,r,g1-11,1.6666666666666667,60%
2,s,g0-00,1208.8,60%
2,s,g0-01,832.5,60%
2,s,g0-10,1181.3,60%
2,s,g0-11,824.1,60%
2,s,g1-00,2784.6,60%
2,s,g1-01,3160.9,60%
2,s,g1-10,2811.5,60%
2,s,g1-11,3168.4,60%
3,i,g0-00,2.5555555555555554,60%
3,i,g0-01,2.875,60%
3,i,g0-10,2.3,60%
3,i,g0-11,2.3,60%
3,i,g1-00,3.6,60%
3,i,g1-01,4.3,60%
3,i,g1-10,4.4,60%
3,i,g1-11,6.2,60%
3,r,g0-00,1.8,60%
3,r,g0-01,1.3333333333333333,60%
3,r,g0-10,1.6,60%
3,r,g0-11,1.0,60%
3,r,g1-00,2.0,60%
3,r,g1-01,1.75,60%
3,r,g1-10,1.5,60%
3,r,g1-11,2.0,60%
3,s,g0-00,1180.9,60%
3,s,g0-01,811.9,60%
3,s,g0-10,1193.3,60%
3,s,g0-11,827.0,60%
3,s,g1-00,2810.9,60%
3,s,g1-01,3179.7,60%
3,s,g1-10,2798.0,60%
3,s,g1-11,3162.6,60%
4,i,g0-00,3.111111111111111,60%
4,i,g0-01,2.7,60%
4,i,g0-10,3.4,60%
4,i,g0-11,2.3333333333333335,60%
4,i,g1-00,4.0,60%
4,i,g1-01,5.4,60%
4,i,g1-10,4.1,60%
4,i,g1-11,7.7,60%
4,r,g0-00,2.1666666666666665,60%
4,r,g0-01,1.5,60%
4,r,g0-10,1.0,60%
4,r,g0-11,1.2,60%
4,r,g1-00,2.7777777777777777,60%
4,r,g1-01,2.625,60%
4,r,g1-10,2.9,60%
4,r,g1-11,3.111111111111111,60%
4,s,g0-00,1211.6,60%
4,s,g0-01,824.1,60%
4,s,g0-10,1201.5,60%
4,s,g0-11,820.4,60%
4,s,g1-00,2777.8,60%
4,s,g1-01,3164.8,60%
4,s,g1-10,2787.5,60%
4,s,g1-11,3166.4,60%
5,i,g0-00,3.7,60%
5,i,g0-01,3.2,60%
5,i,g0-10,4.0,60%
5,i,g0-11,4.444444444444445,60%
5,i,g1-00,3.4,60%
5,i,g1-01,7.5,60%
5,i,g1-10,5.8,60%
5,i,g1-11,8.6,60%
5,r,g0-00,2.8333333333333335,60%
5,r,g0-01,1.25,60%
5,r,g0-10,2.0,60%
5,r,g0-11,1.8571428571428572,60%
5,r,g1-00,3.6,60%
5,r,g1-01,3.4444444444444446,60%
5,r,g1-10,2.8,60%
5,r,g1-11,3.888888888888889,60%
5,s,g0-00,1203.0,60%
5,s,g0-01,811.3,60%
5,s,g0-10,1192.8,60%
5,s,g0-11,820.0,60%
5,s,g1-00,2784.6,60%
5,s,g1-01,3173.9,60%
5,s,g1-10,2793.4,60%
5,s,g1-11,3162.6,60%
