,time,infection_status,risk_group,count
0,0,i,g0-00,4
1,0,i,g0-01,1
2,0,i,g0-10,3
3,0,i,g0-11,3
4,0,i,g1-01,3
5,0,i,g1-10,1
6,0,i,g1-11,1
7,0,s,g0-00,1238
8,0,s,g0-01,842
9,0,s,g0-10,1208
10,0,s,g0-11,832
11,0,s,g1-00,2758
12,0,s,g1-01,3154
13,0,s,g1-10,2788
14,0,s,g1-11,3164
15,1,i,g0-00,3
16,1,i,g0-01,3
17,1,i,g0-10,7
18,1,i,g0-11,2
19,1,i,g1-01,2
20,1,i,g1-11,1
21,1,r,g0-00,1
22,1,r,g1-11,1
23,1,s,g0-00,1206
24,1,s,g0-01,869
25,1,s,g0-10,1228
26,1,s,g0-11,797
27,1,s,g1-00,2790
28,1,s,g1-01,3126
29,1,s,g1-10,2765
30,1,s,g1-11,3199
31,2,i,g0-00,2
32,2,i,g0-01,2
33,2,i,g0-10,4
34,2,i,g0-11,3
35,2,i,g1-01,3
36,2,i,g1-10,4
37,2,i,g1-11,1
38,2,r,g0-00,2
39,2,r,g1-01,1
40,2,r,g1-10,2
41,2,r,g1-11,1
42,2,s,g0-00,1206
43,2,s,g0-01,824
44,2,s,g0-10,1241
45,2,s,g0-11,844
46,2,s,g1-00,2790
47,2,s,g1-01,3170
48,2,s,g1-10,2749
49,2,s,g1-11,3151
50,3,i,g0-00,2
51,3,i,g0-01,2
52,3,i,g0-10,6
53,3,i,g0-11,2
54,3,i,g1-01,4
55,3,i,g1-10,2
56,3,i,g1-11,4
57,3,r,g0-00,1
58,3,r,g0-10,1
59,3,r,g1-00,1
60,3,r,g1-01,1
61,3,r,g1-10,3
62,3,r,g1-11,1
63,3,s,g0-00,1229
64,3,s,g0-01,861
65,3,s,g0-10,1226
66,3,s,g0-11,861
67,3,s,g1-00,2767
68,3,s,g1-01,3132
69,3,s,g1-10,2762
70,3,s,g1-11,3132
71,4,i,g0-00,2
72,4,i,g0-01,3
73,4,i,g0-10,7
74,4,i,g0-11,1
75,4,i,g1-00,1
76,4,i,g1-01,3
77,4,i,g1-10,1
78,4,i,g1-11,6
79,4,r,g1-00,2
80,4,r,g1-01,3
81,4,r,g1-10,4
82,4,r,g1-11,1
83,4,s,g0-00,1207
84,4,s,g0-01,804
85,4,s,g0-10,1233
86,4,s,g0-11,888
87,4,s,g1-00,2788
88,4,s,g1-01,3187
89,4,s,g1-10,2755
90,4,s,g1-11,3104
91,5,i,g0-00,3
92,5,i,g0-01,2
93,5,i,g0-10,3
94,5,i,g0-11,4
95,5,i,g1-00,1
96,5,i,g1-01,3
97,5,i,g1-10,3
98,5,i,g1-11,3
99,5,r,g0-00,1
100,5,r,g0-01,2
101,5,r,g0-10,2
102,5,r,g1-00,2
103,5,r,g1-01,3
104,5,r,g1-10,4
105,5,r,g1-11,2
106,5,s,g0-00,1191
107,5,s,g0-01,836
108,5,s,g0-10,1206
109,5,s,g0-11,829
110,5,s,g1-00,2802
111,5,s,g1-01,3154
112,5,s,g1-10,2782
113,5,s,g1-11,3162
114,6,i,g0-00,1
115,6,i,g0-01,3
116,6,i,g0-10,5
117,6,i,g0-11,2
118,6,i,g1-00,3
119,6,i,g1-01,2
120,6,i,g1-10,3
121,6,i,g1-11,5
122,6,r,g0-10,1
123,6,r,g0-11,1
124,6,r,g1-00,3
125,6,r,g1-01,7
126,6,r,g1-10,5
127,6,r,g1-11,1
128,6,s,g0-00,1236
129,6,s,g0-01,843
130,6,s,g0-10,1230
131,6,s,g0-11,796
132,6,s,g1-00,2757
133,6,s,g1-01,3145
134,6,s,g1-10,2756
135,6,s,g1-11,3195
136,7,i,g0-00,3
137,7,i,g0-01,1
138,7,i,g0-10,2
139,7,i,g0-11,2
140,7,i,g1-00,3
141,7,i,g1-01,6
142,7,i,g1-10,7
143,7,i,g1-11,4
144,7,r,g0-01,3
145,7,r,g0-10,4
146,7,r,g0-11,2
147,7,r,g1-00,3
148,7,r,g1-01,5
149,7,r,g1-10,3
150,7,r,g1-11,2
151,7,s,g0-00,1181
152,7,s,g0-01,799
153,7,s,g0-10,1255
154,7,s,g0-11,806
155,7,s,g1-00,2810
156,7,s,g1-01,3186
157,7,s,g1-10,2729
158,7,s,g1-11,3184
159,8,i,g0-00,3
160,8,i,g0-01,3
161,8,i,g0-10,5
162,8,i,g0-11,3
163,8,i,g1-00,3
164,8,i,g1-01,8
165,8,i,g1-10,5
