,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,3
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,1
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1376
9,0,s,g0-01,958
10,0,s,g0-10,1405
11,0,s,g0-11,980
12,0,s,g1-00,2620
13,0,s,g1-01,3038
14,0,s,g1-10,2591
15,0,s,g1-11,3016
16,1,i,g0-00,3
17,1,i,g0-01,2
18,1,i,g0-10,3
19,1,i,g0-11,3
20,1,i,g1-00,1
21,1,i,g1-01,1
22,1,i,g1-10,1
23,1,i,g1-11,2
24,1,r,g0-01,1
25,1,r,g1-00,1
26,1,s,g0-00,1370
27,1,s,g0-01,958
28,1,s,g0-10,1440
29,1,s,g0-11,968
30,1,s,g1-00,2625
31,1,s,g1-01,3038
32,1,s,g1-10,2556
33,1,s,g1-11,3027
34,2,i,g0-00,4
35,2,i,g0-01,3
36,2,i,g0-10,3
37,2,i,g0-11,3
38,2,i,g1-00,1
39,2,i,g1-01,2
40,2,i,g1-10,2
41,2,i,g1-11,2
42,2,r,g0-11,1
43,2,r,g1-00,1
44,2,r,g1-01,1
45,2,r,g1-10,1
46,2,s,g0-00,1379
47,2,s,g0-01,953
48,2,s,g0-10,1362
49,2,s,g0-11,1020
50,2,s,g1-00,2615
51,2,s,g1-01,3041
52,2,s,g1-10,2632
53,2,s,g1-11,2974
54,3,i,g0-00,5
55,3,i,g0-01,2
56,3,i,g0-10,5
57,3,i,g0-11,4
58,3,i,g1-00,1
59,3,i,g1-01,2
60,3,i,g1-10,2
61,3,i,g1-11,2
62,3,r,g0-00,1
63,3,r,g0-01,1
64,3,r,g0-10,1
65,3,r,g1-01,1
66,3,r,g1-10,1
67,3,r,g1-11,4
68,3,s,g0-00,1438
69,3,s,g0-01,917
70,3,s,g0-10,1404
71,3,s,g0-11,946
72,3,s,g1-00,2555
73,3,s,g1-01,3077
74,3,s,g1-10,2587
75,3,s,g1-11,3044
76,4,i,g0-00,5
77,4,i,g0-01,2
78,4,i,g0-10,8
79,4,i,g0-11,6
80,4,i,g1-00,2
81,4,i,g1-01,5
82,4,i,g1-10,1
83,4,i,g1-11,1
84,4,r,g0-11,2
85,4,r,g1-00,2
86,4,r,g1-01,2
87,4,r,g1-10,2
88,4,r,g1-11,3
89,4,s,g0-00,1393
90,4,s,g0-01,946
91,4,s,g0-10,1380
92,4,s,g0-11,1003
93,4,s,g1-00,2598
94,4,s,g1-01,3045
95,4,s,g1-10,2609
96,4,s,g1-11,2985
97,5,i,g0-00,6
98,5,i,g0-01,5
99,5,i,g0-10,7
100,5,i,g0-11,4
101,5,i,g1-00,1
102,5,i,g1-01,4
103,5,i,g1-10,4
104,5,i,g1-11,4
105,5,r,g0-00,3
106,5,r,g0-10,1
107,5,r,g0-11,2
108,5,r,g1-01,2
109,5,r,g1-10,1
110,5,r,g1-11,3
111,5,s,g0-00,1327
112,5,s,g0-01,947
113,5,s,g0-10,1398
114,5,s,g0-11,953
115,5,s,g1-00,2663
116,5,s,g1-01,3042
117,5,s,g1-10,2589
118,5,s,g1-11,3034
119,6,i,g0-00,4
120,6,i,g0-01,5
121,6,i,g0-10,9
122,6,i,g0-11,4
123,6,i,g1-00,4
124,6,i,g1-01,6
125,6,i,g1-10,1
126,6,i,g1-11,5
127,6,r,g0-01,1
128,6,r,g0-10,2
129,6,r,g0-11,1
130,6,r,g1-00,3
131,6,r,g1-01,2
132,6,r,g1-10,3
133,6,r,g1-11,6
134,6,s,g0-00,1416
135,6,s,g0-01,979
136,6,s,g0-10,1329
137,6,s,g0-11,968
138,6,s,g1-00,2573
139,6,s,g1-01,3007
140,6,s,g1-10,2656
141,6,s,g1-11,3016
142,7,i,g0-00,7
143,7,i,g0-01,8
144,7,i,g0-10,5
145,7,i,g0-11,5
146,7,i,g1-00,1
147,7,i,g1-01,7
148,7,i,g1-10,4
149,7,i,g1-11,3
150,7,r,g0-00,1
151,7,r,g0-01,1
152,7,r,g0-10,4
153,7,r,g0-11,6
154,7,r,g1-00,4
155,7,r,g1-01,2
156,7,r,g1-10,4
157,7,r,g1-11,3
158,7,s,g0-00,1417
159,7,s,g0-01,958
160,7,s,g0-10,1407
161,7,s,g0-11,958
162,7,s,g1-00,2570
163,7,s,g1-01,3024
164,7,s,g1-10,2576
165,7,s,g1-11,3025
166,8,i,g0-00,9
167,8,i,g0-01,7
168,8,i,g0-10,4
169,8,i,g0-11,6
170,8,i,g1-00,4
171,8,i,g1-01,9
172,8,i,g1-10,4
173,8,i,g1-11,4
174,8,r,g0-00,1
175,8,r,g0-01,2
176,8,r,g0-10,4
177,8,r,g0-11,6
178,8,r,g1-00,4
179,8,r,g1-01,3
180,8,r,g1-10,5
181,8,r,g1-11,4
182,8,s,g0-00,1370
183,8,s,g0-01,1018
184,8,s,g0-10,1442
185,8,s,g0-11,977
186,8,s,g1-00,2612
187,8,s,g1-01,2961
188,8,s,g1-10,2541
189,8,s,g1-11,3003
190,9,i,g0-00,8
191,9,i,g0-01,12
192,9,i,g0-10,6
193,9,i,g0-11,14
194,9,i,g1-00,3
195,9,i,g1-01,7
196,9,i,g1-10,1
197,9,i,g1-11,3
198,9,r,g0-00,4
199,9,r,g0-01,1
200,9,r,g0-10,6
201,9,r,g0-11,1
202,9,r,g1-00,5
203,9,r,g1-01,4
204,9,r,g1-10,7
205,9,r,g1-11,9
206,9,s,g0-00,1405
207,9,s,g0-01,1006
208,9,s,g0-10,1406
209,9,s,g0-11,1027
210,9,s,g1-00,2575
211,9,s,g1-01,2970
212,9,s,g1-10,2574
213,9,s,g1-11,2946
214,10,i,g0-00,7
215,10,i,g0-01,13
216,10,i,g0-10,7
217,10,i,g0-11,9
218,10,i,g1-00,6
219,10,i,g1-01,7
220,10,i,g1-10,1
221,10,i,g1-11,10
222,10,r,g0-00,2
223,10,r,g0-01,2
224,10,r,g0-10,5
225,10,r,g0-11,1
226,10,r,g1-00,9
227,10,r,g1-01,4
228,10,r,g1-10,10
229,10,r,g1-11,11
230,10,s,g0-00,1377
231,10,s,g0-01,968
232,10,s,g0-10,1420
233,10,s,g0-11,937
234,10,s,g1-00,2599
235,10,s,g1-01,3006
236,10,s,g1-10,2557
237,10,s,g1-11,3032
238,11,i,g0-00,9
239,11,i,g0-01,15
240,11,i,g0-10,6
241,11,i,g0-11,14
242,11,i,g1-00,3
243,11,i,g1-01,6
244,11,i,g1-10,2
245,11,i,g1-11,8
246,11,r,g0-00,11
247,11,r,g0-10,5
248,11,r,g0-11,2
249,11,r,g1-00,5
250,11,r,g1-01,8
251,11,r,g1-10,10
252,11,r,g1-11,11
253,11,s,g0-00,1381
254,11,s,g0-01,927
255,11,s,g0-10,1433
256,11,s,g0-11,1029
257,11,s,g1-00,2591
258,11,s,g1-01,3044
259,11,s,g1-10,2544
260,11,s,g1-11,2936
261,12,i,g0-00,8
262,12,i,g0-01,15
263,12,i,g0-10,11
264,12,i,g0-11,15
265,12,i,g1-00,3
266,12,i,g1-01,12
267,12,i,g1-10,4
268,12,i,g1-11,11
269,12,r,g0-00,5
270,12,r,g0-01,3
271,12,r,g0-10,3
272,12,r,g0-11,4
273,12,r,g1-00,12
274,12,r,g1-01,8
275,12,r,g1-10,12
276,12,r,g1-11,12
277,12,s,g0-00,1385
278,12,s,g0-01,1002
279,12,s,g0-10,1384
280,12,s,g0-11,1004
281,12,s,g1-00,2587
282,12,s,g1-01,2960
283,12,s,g1-10,2586
284,12,s,g1-11,2954
285,13,i,g0-00,10
286,13,i,g0-01,17
287,13,i,g0-10,10
288,13,i,g0-11,13
289,13,i,g1-00,3
290,13,i,g1-01,10
291,13,i,g1-10,6
292,13,i,g1-11,16
293,13,r,g0-00,8
294,13,r,g0-01,1
295,13,r,g0-10,6
296,13,r,g0-11,4
297,13,r,g1-00,12
298,13,r,g1-01,14
299,13,r,g1-10,11
300,13,r,g1-11,13
301,13,s,g0-00,1395
302,13,s,g0-01,1020
303,13,s,g0-10,1408
304,13,s,g0-11,1006
305,13,s,g1-00,2572
306,13,s,g1-01,2938
307,13,s,g1-10,2559
308,13,s,g1-11,2948
309,14,i,g0-00,9
310,14,i,g0-01,21
311,14,i,g0-10,16
312,14,i,g0-11,18
313,14,i,g1-00,5
314,14,i,g1-01,12
315,14,i,g1-10,7
316,14,i,g1-11,13
317,14,r,g0-00,5
318,14,r,g0-01,4
319,14,r,g0-10,2
320,14,r,g0-11,5
321,14,r,g1-00,17
322,14,r,g1-01,16
323,14,r,g1-10,17
324,14,r,g1-11,20
325,14,s,g0-00,1394
326,14,s,g0-01,962
327,14,s,g0-10,1381
328,14,s,g0-11,971
329,14,s,g1-00,2570
330,14,s,g1-01,2985
331,14,s,g1-10,2577
332,14,s,g1-11,2973
333,15,i,g0-00,11
334,15,i,g0-01,19
335,15,i,g0-10,16
336,15,i,g0-11,17
337,15,i,g1-00,2
338,15,i,g1-01,16
339,15,i,g1-10,10
340,15,i,g1-11,14
341,15,r,g0-00,13
342,15,r,g0-01,4
343,15,r,g0-10,7
344,15,r,g0-11,1
345,15,r,g1-00,14
346,15,r,g1-01,24
347,15,r,g1-10,16
348,15,r,g1-11,31
349,15,s,g0-00,1347
350,15,s,g0-01,1000
351,15,s,g0-10,1378
352,15,s,g0-11,980
353,15,s,g1-00,2613
354,15,s,g1-01,2937
355,15,s,g1-10,2573
356,15,s,g1-11,2957
357,16,i,g0-00,12
358,16,i,g0-01,23
359,16,i,g0-10,19
360,16,i,g0-11,14
361,16,i,g1-00,7
362,16,i,g1-01,16
363,16,i,g1-10,8
364,16,i,g1-11,20
365,16,r,g0-00,7
366,16,r,g0-01,8
367,16,r,g0-10,6
368,16,r,g0-11,8
369,16,r,g1-00,19
370,16,r,g1-01,24
371,16,r,g1-10,20
372,16,r,g1-11,31
373,16,s,g0-00,1370
374,16,s,g0-01,975
375,16,s,g0-10,1448
376,16,s,g0-11,1032
377,16,s,g1-00,2585
378,16,s,g1-01,2954
379,16,s,g1-10,2499
380,16,s,g1-11,2895
381,17,i,g0-00,14
382,17,i,g0-01,25
383,17,i,g0-10,9
384,17,i,g0-11,16
385,17,i,g1-00,6
386,17,i,g1-01,16
387,17,i,g1-10,13
388,17,i,g1-11,20
389,17,r,g0-00,14
390,17,r,g0-01,9
391,17,r,g0-10,12
392,17,r,g0-11,9
393,17,r,g1-00,14
394,17,r,g1-01,29
395,17,r,g1-10,20
396,17,r,g1-11,34
397,17,s,g0-00,1398
398,17,s,g0-01,910
399,17,s,g0-10,1445
400,17,s,g0-11,970
401,17,s,g1-00,2554
402,17,s,g1-01,3011
403,17,s,g1-10,2501
404,17,s,g1-11,2951
405,18,i,g0-00,11
406,18,i,g0-01,23
407,18,i,g0-10,15
408,18,i,g0-11,23
409,18,i,g1-00,11
410,18,i,g1-01,12
411,18,i,g1-10,8
412,18,i,g1-11,16
413,18,r,g0-00,11
414,18,r,g0-01,7
415,18,r,g0-10,7
416,18,r,g0-11,10
417,18,r,g1-00,18
418,18,r,g1-01,39
419,18,r,g1-10,30
420,18,r,g1-11,35
421,18,s,g0-00,1380
422,18,s,g0-01,970
423,18,s,g0-10,1452
424,18,s,g0-11,1028
425,18,s,g1-00,2569
426,18,s,g1-01,2949
427,18,s,g1-10,2488
428,18,s,g1-11,2888
429,19,i,g0-00,19
430,19,i,g0-01,24
431,19,i,g0-10,26
432,19,i,g0-11,21
433,19,i,g1-00,9
434,19,i,g1-01,17
435,19,i,g1-10,7
436,19,i,g1-11,18
437,19,r,g0-00,13
438,19,r,g0-01,10
439,19,r,g0-10,17
440,19,r,g0-11,10
441,19,r,g1-00,19
442,19,r,g1-01,41
443,19,r,g1-10,23
444,19,r,g1-11,39
445,19,s,g0-00,1409
446,19,s,g0-01,994
447,19,s,g0-10,1381
448,19,s,g0-11,1022
449,19,s,g1-00,2531
450,19,s,g1-01,2914
451,19,s,g1-10,2546
452,19,s,g1-11,2890
453,20,i,g0-00,20
454,20,i,g0-01,30
455,20,i,g0-10,31
456,20,i,g0-11,31
457,20,i,g1-00,9
458,20,i,g1-01,22
459,20,i,g1-10,9
460,20,i,g1-11,17
461,20,r,g0-00,13
462,20,r,g0-01,16
463,20,r,g0-10,17
464,20,r,g0-11,18
465,20,r,g1-00,24
466,20,r,g1-01,38
467,20,r,g1-10,27
468,20,r,g1-11,36
469,20,s,g0-00,1376
470,20,s,g0-01,980
471,20,s,g0-10,1449
472,20,s,g0-11,996
473,20,s,g1-00,2558
474,20,s,g1-01,2914
475,20,s,g1-10,2467
476,20,s,g1-11,2902
477,21,i,g0-00,23
478,21,i,g0-01,33
479,21,i,g0-10,35
480,21,i,g0-11,30
481,21,i,g1-00,10
482,21,i,g1-01,21
483,21,i,g1-10,13
484,21,i,g1-11,19
485,21,r,g0-00,18
486,21,r,g0-01,24
487,21,r,g0-10,24
488,21,r,g0-11,17
489,21,r,g1-00,25
490,21,r,g1-01,41
491,21,r,g1-10,25
492,21,r,g1-11,44
493,21,s,g0-00,1386
494,21,s,g0-01,1007
495,21,s,g0-10,1388
496,21,s,g0-11,1029
497,21,s,g1-00,2538
498,21,s,g1-01,2874
499,21,s,g1-10,2515
500,21,s,g1-11,2861
501,22,i,g0-00,22
502,22,i,g0-01,29
503,22,i,g0-10,27
504,22,i,g0-11,27
505,22,i,g1-00,12
506,22,i,g1-01,25
507,22,i,g1-10,21
508,22,i,g1-11,29
509,22,r,g0-00,15
510,22,r,g0-01,27
511,22,r,g0-10,19
512,22,r,g0-11,15
513,22,r,g1-00,36
514,22,r,g1-01,49
515,22,r,g1-10,39
516,22,r,g1-11,53
517,22,s,g0-00,1395
518,22,s,g0-01,1011
519,22,s,g0-10,1418
520,22,s,g0-11,1077
521,22,s,g1-00,2520
522,22,s,g1-01,2859
523,22,s,g1-10,2476
524,22,s,g1-11,2799
525,23,i,g0-00,27
526,23,i,g0-01,34
527,23,i,g0-10,33
528,23,i,g0-11,38
529,23,i,g1-00,11
530,23,i,g1-01,22
531,23,i,g1-10,18
532,23,i,g1-11,27
533,23,r,g0-00,15
534,23,r,g0-01,28
535,23,r,g0-10,25
536,23,r,g0-11,15
537,23,r,g1-00,42
538,23,r,g1-01,56
539,23,r,g1-10,38
540,23,r,g1-11,64
541,23,s,g0-00,1376
542,23,s,g0-01,960
543,23,s,g0-10,1425
544,23,s,g0-11,1026
545,23,s,g1-00,2529
546,23,s,g1-01,2900
547,23,s,g1-10,2461
548,23,s,g1-11,2830
549,24,i,g0-00,24
550,24,i,g0-01,36
551,24,i,g0-10,36
552,24,i,g0-11,48
553,24,i,g1-00,14
554,24,i,g1-01,28
555,24,i,g1-10,16
556,24,i,g1-11,23
557,24,r,g0-00,22
558,24,r,g0-01,20
559,24,r,g0-10,25
560,24,r,g0-11,28
561,24,r,g1-00,42
562,24,r,g1-01,72
563,24,r,g1-10,50
564,24,r,g1-11,61
565,24,s,g0-00,1372
566,24,s,g0-01,970
567,24,s,g0-10,1405
568,24,s,g0-11,985
569,24,s,g1-00,2526
570,24,s,g1-01,2874
571,24,s,g1-10,2468
572,24,s,g1-11,2855
573,25,i,g0-00,27
574,25,i,g0-01,38
575,25,i,g0-10,33
576,25,i,g0-11,41
577,25,i,g1-00,13
578,25,i,g1-01,38
579,25,i,g1-10,12
580,25,i,g1-11,35
581,25,r,g0-00,28
582,25,r,g0-01,30
583,25,r,g0-10,31
584,25,r,g0-11,18
585,25,r,g1-00,41
586,25,r,g1-01,73
587,25,r,g1-10,56
588,25,r,g1-11,78
589,25,s,g0-00,1393
590,25,s,g0-01,913
591,25,s,g0-10,1494
592,25,s,g0-11,1056
593,25,s,g1-00,2498
594,25,s,g1-01,2908
595,25,s,g1-10,2374
596,25,s,g1-11,2772
597,26,i,g0-00,34
598,26,i,g0-01,46
599,26,i,g0-10,33
600,26,i,g0-11,47
601,26,i,g1-00,13
602,26,i,g1-01,46
603,26,i,g1-10,17
604,26,i,g1-11,32
605,26,r,g0-00,32
606,26,r,g0-01,25
607,26,r,g0-10,22
608,26,r,g0-11,22
609,26,r,g1-00,46
610,26,r,g1-01,84
611,26,r,g1-10,67
612,26,r,g1-11,88
613,26,s,g0-00,1351
614,26,s,g0-01,943
615,26,s,g0-10,1461
616,26,s,g0-11,1056
617,26,s,g1-00,2524
618,26,s,g1-01,2856
619,26,s,g1-10,2400
620,26,s,g1-11,2755
621,27,i,g0-00,33
622,27,i,g0-01,58
623,27,i,g0-10,33
624,27,i,g0-11,50
625,27,i,g1-00,18
626,27,i,g1-01,48
627,27,i,g1-10,24
628,27,i,g1-11,44
629,27,r,g0-00,27
630,27,r,g0-01,28
631,27,r,g0-10,33
632,27,r,g0-11,31
633,27,r,g1-00,56
634,27,r,g1-01,96
635,27,r,g1-10,60
636,27,r,g1-11,87
637,27,s,g0-00,1351
638,27,s,g0-01,1024
639,27,s,g0-10,1460
640,27,s,g0-11,1048
641,27,s,g1-00,2515
642,27,s,g1-01,2746
643,27,s,g1-10,2390
644,27,s,g1-11,2740
645,28,i,g0-00,45
646,28,i,g0-01,71
647,28,i,g0-10,44
648,28,i,g0-11,57
649,28,i,g1-00,26
650,28,i,g1-01,50
651,28,i,g1-10,21
652,28,i,g1-11,52
653,28,r,g0-00,27
654,28,r,g0-01,30
655,28,r,g0-10,32
656,28,r,g0-11,38
657,28,r,g1-00,60
658,28,r,g1-01,111
659,28,r,g1-10,72
660,28,r,g1-11,94
661,28,s,g0-00,1342
662,28,s,g0-01,928
663,28,s,g0-10,1443
664,28,s,g0-11,1055
665,28,s,g1-00,2500
666,28,s,g1-01,2810
667,28,s,g1-10,2388
668,28,s,g1-11,2704
669,29,i,g0-00,52
670,29,i,g0-01,75
671,29,i,g0-10,55
672,29,i,g0-11,73
673,29,i,g1-00,27
674,29,i,g1-01,65
675,29,i,g1-10,24
676,29,i,g1-11,51
677,29,r,g0-00,32
678,29,r,g0-01,41
679,29,r,g0-10,42
