,time,infection_status,risk_group,count
0,0,i,g0-00,1
1,0,i,g0-01,1
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,3
5,0,i,g1-01,3
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1203
9,0,s,g0-01,892
10,0,s,g0-10,1153
11,0,s,g0-11,858
12,0,s,g1-00,2793
13,0,s,g1-01,3104
14,0,s,g1-10,2843
15,0,s,g1-11,3138
16,1,i,g0-00,1
17,1,i,g0-01,4
18,1,i,g0-10,1
19,1,i,g0-11,2
20,1,i,g1-00,3
21,1,i,g1-01,2
22,1,i,g1-10,4
23,1,i,g1-11,3
24,1,r,g1-01,2
25,1,s,g0-00,1195
26,1,s,g0-01,806
27,1,s,g0-10,1220
28,1,s,g0-11,877
29,1,s,g1-00,2801
30,1,s,g1-01,3186
31,1,s,g1-10,2775
32,1,s,g1-11,3118
33,2,i,g0-00,5
34,2,i,g0-01,4
35,2,i,g0-10,3
36,2,i,g0-11,2
37,2,i,g1-00,1
38,2,i,g1-01,4
39,2,i,g1-10,3
40,2,i,g1-11,3
41,2,r,g0-01,1
42,2,r,g1-01,2
43,2,s,g0-00,1147
44,2,s,g0-01,771
45,2,s,g0-10,1208
46,2,s,g0-11,852
47,2,s,g1-00,2847
48,2,s,g1-01,3218
49,2,s,g1-10,2786
50,2,s,g1-11,3143
51,3,i,g0-00,3
52,3,i,g0-01,2
53,3,i,g0-10,3
54,3,i,g0-11,4
55,3,i,g1-00,4
56,3,i,g1-01,5
57,3,i,g1-10,5
58,3,i,g1-11,4
59,3,r,g0-01,1
60,3,r,g1-01,5
61,3,s,g0-00,1191
62,3,s,g0-01,872
63,3,s,g0-10,1222
64,3,s,g0-11,811
65,3,s,g1-00,2802
66,3,s,g1-01,3115
67,3,s,g1-10,2770
68,3,s,g1-11,3181
69,4,i,g0-00,4
70,4,i,g0-01,1
71,4,i,g0-10,1
72,4,i,g0-11,6
73,4,i,g1-00,4
74,4,i,g1-01,5
75,4,i,g1-10,5
76,4,i,g1-11,3
77,4,r,g0-01,1
78,4,r,g0-10,1
79,4,r,g1-00,1
80,4,r,g1-01,7
81,4,r,g1-10,2
82,4,r,g1-11,1
83,4,s,g0-00,1193
84,4,s,g0-01,759
85,4,s,g0-10,1234
86,4,s,g0-11,789
87,4,s,g1-00,2798
88,4,s,g1-01,3227
89,4,s,g1-10,2757
