,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,2
2,0,i,g0-10,1
3,0,i,g0-11,1
4,0,i,g1-00,1
5,0,i,g1-01,2
6,0,i,g1-10,3
7,0,i,g1-11,3
8,0,s,g0-00,1214
9,0,s,g0-01,862
10,0,s,g0-10,1210
11,0,s,g0-11,836
12,0,s,g1-00,2782
13,0,s,g1-01,3134
14,0,s,g1-10,2786
15,0,s,g1-11,3160
16,1,i,g0-00,3
17,1,i,g0-10,3
18,1,i,g0-11,3
19,1,i,g1-00,2
20,1,i,g1-01,4
21,1,i,g1-10,3
22,1,i,g1-11,5
23,1,r,g0-11,1
24,1,s,g0-00,1229
25,1,s,g0-01,806
26,1,s,g0-10,1190
27,1,s,g0-11,807
28,1,s,g1-00,2766
29,1,s,g1-01,3190
30,1,s,g1-10,2804
31,1,s,g1-11,3184
32,2,i,g0-00,4
33,2,i,g0-01,2
34,2,i,g0-10,4
35,2,i,g0-11,5
36,2,i,g1-00,1
37,2,i,g1-01,2
38,2,i,g1-10,4
39,2,i,g1-11,3
40,2,r,g0-11,2
41,2,r,g1-00,1
42,2,r,g1-11,1
43,2,s,g0-00,1174
44,2,s,g0-01,827
45,2,s,g0-10,1203
46,2,s,g0-11,820
47,2,s,g1-00,2820
48,2,s,g1-01,3169
49,2,s,g1-10,2789
50,2,s,g1-11,3169
51,3,i,g0-00,3
52,3,i,g0-01,3
53,3,i,g0-10,6
54,3,i,g0-11,5
55,3,i,g1-00,4
56,3,i,g1-01,3
57,3,i,g1-10,3
58,3,i,g1-11,3
59,3,r,g0-00,2
60,3,r,g0-10,1
61,3,r,g0-11,2
62,3,r,g1-11,2
63,3,s,g0-00,1208
64,3,s,g0-01,790
65,3,s,g0-10,1209
66,3,s,g0-11,802
67,3,s,g1-00,2783
68,3,s,g1-01,3204
69,3,s,g1-10,2781
70,3,s,g1-11,3186
71,4,i,g0-00,4
72,4,i,g0-01,1
73,4,i,g0-10,5
74,4,i,g0-11,6
75,4,i,g1-00,6
76,4,i,g1-01,3
77,4,i,g1-10,6
78,4,i,g1-11,4
79,4,r,g0-11,1
80,4,r,g1-00,2
81,4,r,g1-01,2
82,4,r,g1-10,1
83,4,r,g1-11,5
84,4,s,g0-00,1162
85,4,s,g0-01,837
86,4,s,g0-10,1207
87,4,s,g0-11,814
88,4,s,g1-00,2826
89,4,s,g1-01,3157
90,4,s,g1-10,2781
91,4,s,g1-11,3170
92,5,i,g0-00,4
93,5,i,g0-01,4
94,5,i,g0-10,9
95,5,i,g0-11,4
96,5,i,g1-00,6
