,time,infection_status,risk_group,count
0,0,i,g0-01,3
1,0,i,g0-10,3
2,0,i,g0-11,1
3,0,i,g1-00,4
4,0,i,g1-01,1
5,0,i,g1-10,1
6,0,i,g1-11,3
7,0,s,g0-00,1196
8,0,s,g0-01,848
9,0,s,g0-10,1198
10,0,s,g0-11,853
11,0,s,g1-00,2800
12,0,s,g1-01,3148
13,0,s,g1-10,2798
14,0,s,g1-11,3143
15,1,i,g0-00,3
16,1,i,g0-01,1
17,1,i,g0-10,2
18,1,i,g0-11,2
19,1,i,g1-00,2
20,1,i,g1-01,1
21,1,i,g1-10,3
22,1,i,g1-11,2
23,1,r,g0-01,1
24,1,r,g1-01,1
25,1,s,g0-00,1201
26,1,s,g0-01,825
27,1,s,g0-10,1190
28,1,s,g0-11,792
29,1,s,g1-00,2794
30,1,s,g1-01,3171
31,1,s,g1-10,2805
32,1,s,g1-11,3204
33,2,i,g0-00,2
34,2,i,g0-10,4
35,2,i,g0-11,1
36,2,i,g1-00,2
37,2,i,g1-10,4
38,2,i,g1-11,6
39,2,r,g0-01,1
40,2,r,g1-00,1
41,2,r,g1-01,3
42,2,r,g1-10,1
43,2,r,g1-11,1
44,2,s,g0-00,1212
45,2,s,g0-01,828
46,2,s,g0-10,1205
47,2,s,g0-11,853
48,2,s,g1-00,2783
49,2,s,g1-01,3168
50,2,s,g1-10,2786
51,2,s,g1-11,3139
52,3,i,g0-00,3
53,3,i,g0-10,5
54,3,i,g0-11,3
55,3,i,g1-00,1
56,3,i,g1-10,3
57,3,i,g1-11,3
58,3,r,g1-00,2
59,3,r,g1-01,4
60,3,r,g1-10,1
61,3,r,g1-11,3
62,3,s,g0-00,1220
63,3,s,g0-01,846
64,3,s,g0-10,1136
65,3,s,g0-11,781
66,3,s,g1-00,2774
67,3,s,g1-01,3150
68,3,s,g1-10,2855
69,3,s,g1-11,3210
70,4,i,g0-00,5
71,4,i,g0-10,3
72,4,i,g0-11,4
73,4,i,g1-01,1
74,4,i,g1-10,5
75,4,i,g1-11,3
76,4,r,g0-01,1
77,4,r,g1-00,2
78,4,r,g1-01,3
79,4,r,g1-10,1
80,4,r,g1-11,4
81,4,s,g0-00,1195
82,4,s,g0-01,850
83,4,s,g0-10,1149
84,4,s,g0-11,802
85,4,s,g1-00,2798
86,4,s,g1-01,3145
87,4,s,g1-10,2842
88,4,s,g1-11,3187
89,5,i,g0-00,2
90,5,i,g0-01,1
91,5,i,g0-10,3
92,5,i,g0-11,3
93,5,i,g1-00,2
94,5,i,g1-10,4
95,5,i,g1-11,4
96,5,r,g0-00,1
97,5,r,g0-01,1
98,5,r,g0-11,2
99,5,r,g1-00,2
100,5,r,g1-01,4
101,5,r,g1-10,2
102,5,r,g1-11,3
103,5,s,g0-00,1196
104,5,s,g0-01,837
105,5,s,g0-10,1226
106,5,s,g0-11,853
107,5,s,g1-00,2797
108,5,s,g1-01,3157
109,5,s,g1-10,2765
110,5,s,g1-11,3135
111,6,i,g0-00,2
112,6,i,g0-01,1
113,6,i,g0-10,6
114,6,i,g0-11,2
115,6,i,g1-00,3
116,6,i,g1-01,1
117,6,i,g1-10,3
118,6,i,g1-11,6
119,6,r,g0-00,1
120,6,r,g0-01,2
121,6,r,g0-10,1
122,6,r,g0-11,2
123,6,r,g1-00,2
124,6,r,g1-01,3
125,6,r,g1-10,1
126,6,r,g1-11,3
127,6,s,g0-00,1233
128,6,s,g0-01,775
129,6,s,g0-10,1175
130,6,s,g0-11,909
131,6,s,g1-00,2759
132,6,s,g1-01,3218
133,6,s,g1-10,2814
134,6,s,g1-11,3078
135,7,i,g0-01,2
136,7,i,g0-10,7
137,7,i,g0-11,7
138,7,i,g1-00,3
139,7,i,g1-01,1
140,7,i,g1-10,3
141,7,i,g1-11,3
142,7,r,g0-00,3
143,7,r,g0-10,1
144,7,r,g0-11,1
145,7,r,g1-00,3
146,7,r,g1-01,5
147,7,r,g1-10,4
148,7,r,g1-11,4
149,7,s,g0-00,1248
150,7,s,g0-01,831
151,7,s,g0-10,1245
152,7,s,g0-11,795
153,7,s,g1-00,2743
154,7,s,g1-01,3161
155,7,s,g1-10,2740
156,7,s,g1-11,3190
157,8,i,g0-00,1
158,8,i,g0-01,1
159,8,i,g0-10,5
160,8,i,g0-11,5
161,8,i,g1-00,3
162,8,i,g1-01,3
