,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-10,1
2,0,i,g0-11,1
3,0,i,g1-00,2
4,0,i,g1-01,4
5,0,i,g1-10,3
6,0,i,g1-11,3
7,0,s,g0-00,995
8,0,s,g0-01,683
9,0,s,g0-10,1020
10,0,s,g0-11,665
11,0,s,g1-00,3001
12,0,s,g1-01,3313
13,0,s,g1-10,2976
14,0,s,g1-11,3331
15,1,i,g0-00,3
16,1,i,g0-01,3
17,1,i,g0-10,2
18,1,i,g0-11,2
19,1,i,g1-00,3
20,1,i,g1-01,3
21,1,i,g1-10,2
22,1,i,g1-11,1
23,1,r,g1-01,2
24,1,r,g1-10,1
25,1,r,g1-11,2
26,1,s,g0-00,991
27,1,s,g0-01,675
28,1,s,g0-10,1038
29,1,s,g0-11,639
30,1,s,g1-00,3003
31,1,s,g1-01,3317
32,1,s,g1-10,2957
33,1,s,g1-11,3356
34,2,i,g0-00,3
35,2,i,g0-01,3
36,2,i,g0-10,1
37,2,i,g1-00,3
38,2,i,g1-01,2
39,2,i,g1-10,4
40,2,i,g1-11,3
41,2,r,g1-00,1
42,2,r,g1-01,3
43,2,r,g1-10,2
44,2,r,g1-11,2
45,2,s,g0-00,971
46,2,s,g0-01,663
47,2,s,g0-10,1060
48,2,s,g0-11,667
49,2,s,g1-00,3022
50,2,s,g1-01,3329
51,2,s,g1-10,2933
52,2,s,g1-11,3328
53,3,i,g0-00,3
54,3,i,g0-01,2
55,3,i,g0-10,2
56,3,i,g0-11,1
57,3,i,g1-00,4
58,3,i,g1-01,2
59,3,i,g1-10,5
60,3,i,g1-11,5
61,3,r,g1-00,1
62,3,r,g1-01,5
63,3,r,g1-10,4
64,3,r,g1-11,2
65,3,s,g0-00,1032
66,3,s,g0-01,679
67,3,s,g0-10,1013
68,3,s,g0-11,693
69,3,s,g1-00,2960
70,3,s,g1-01,3312
71,3,s,g1-10,2976
72,3,s,g1-11,3299
73,4,i,g0-00,4
74,4,i,g0-01,3
75,4,i,g0-10,2
76,4,i,g0-11,2
77,4,i,g1-00,4
78,4,i,g1-01,4
79,4,i,g1-10,3
80,4,i,g1-11,2
81,4,r,g0-01,1
82,4,r,g0-10,2
83,4,r,g0-11,2
84,4,r,g1-00,1
85,4,r,g1-01,4
86,4,r,g1-10,5
87,4,r,g1-11,3
88,4,s,g0-00,982
89,4,s,g0-01,693
90,4,s,g0-10,1058
91,4,s,g0-11,680
92,4,s,g1-00,3009
93,4,s,g1-01,3295
94,4,s,g1-10,2930
95,4,s,g1-11,3311
96,5,i,g0-00,5
97,5,i,g0-01,3
98,5,i,g0-10,1
99,5,i,g0-11,3
100,5,i,g1-00,9
101,5,i,g1-01,4
102,5,i,g1-10,2
103,5,i,g1-11,4
104,5,r,g0-01,2
105,5,r,g0-10,4
106,5,r,g1-00,2
107,5,r,g1-01,4
108,5,r,g1-10,6
109,5,r,g1-11,5
110,5,s,g0-00,948
111,5,s,g0-01,697
112,5,s,g0-10,1083
113,5,s,g0-11,660
114,5,s,g1-00,3036
115,5,s,g1-01,3290
116,5,s,g1-10,2904
117,5,s,g1-11,3328
118,6,i,g0-00,5
119,6,i,g0-01,2
120,6,i,g0-10,3
121,6,i,g0-11,2
122,6,i,g1-00,14
123,6,i,g1-01,6
124,6,i,g1-10,2
125,6,i,g1-11,7
126,6,r,g0-10,5
127,6,r,g0-11,1
128,6,r,g1-00,2
129,6,r,g1-01,7
130,6,r,g1-10,6
131,6,r,g1-11,4
132,6,s,g0-00,999
133,6,s,g0-01,676
134,6,s,g0-10,1016
135,6,s,g0-11,654
136,6,s,g1-00,2980
137,6,s,g1-01,3309
138,6,s,g1-10,2968
139,6,s,g1-11,3332
140,7,i,g0-00,8
141,7,i,g0-01,4
142,7,i,g0-10,4
143,7,i,g0-11,7
144,7,i,g1-00,13
145,7,i,g1-01,5
146,7,i,g1-10,1
147,7,i,g1-11,7
148,7,r,g0-00,2
149,7,r,g0-01,2
150,7,r,g0-10,5
151,7,r,g1-00,3
152,7,r,g1-01,7
153,7,r,g1-10,8
154,7,r,g1-11,5
155,7,s,g0-00,1049
156,7,s,g0-01,656
157,7,s,g0-10,1040
158,7,s,g0-11,683
159,7,s,g1-00,2925
160,7,s,g1-01,3326
161,7,s,g1-10,2942
162,7,s,g1-11,3298
163,8,i,g0-00,11
164,8,i,g0-01,3
165,8,i,g0-10,4
166,8,i,g0-11,5
167,8,i,g1-00,10
168,8,i,g1-01,8
169,8,i,g1-10,4
170,8,i,g1-11,6
171,8,r,g0-00,2
172,8,r,g0-01,1
173,8,r,g0-10,5
174,8,r,g0-11,1
175,8,r,g1-00,5
176,8,r,g1-01,9
177,8,r,g1-10,8
178,8,r,g1-11,8
179,8,s,g0-00,1013
180,8,s,g0-01,697
181,8,s,g0-10,1037
182,8,s,g0-11,706
183,8,s,g1-00,2959
184,8,s,g1-01,3282
185,8,s,g1-10,2942
186,8,s,g1-11,3274
187,9,i,g0-00,9
188,9,i,g0-01,7
189,9,i,g0-10,6
190,9,i,g0-11,5
191,9,i,g1-00,16
192,9,i,g1-01,8
193,9,i,g1-10,5
194,9,i,g1-11,12
195,9,r,g0-00,2
196,9,r,g0-10,6
197,9,r,g0-11,3
198,9,r,g1-00,6
199,9,r,g1-01,10
200,9,r,g1-10,8
201,9,r,g1-11,6
202,9,s,g0-00,1046
203,9,s,g0-01,641
204,9,s,g0-10,1017
205,9,s,g0-11,693
206,9,s,g1-00,2921
207,9,s,g1-01,3334
208,9,s,g1-10,2958
209,9,s,g1-11,3281
210,10,i,g0-00,13
211,10,i,g0-01,6
212,10,i,g0-10,4
213,10,i,g0-11,4
214,10,i,g1-00,14
215,10,i,g1-01,14
216,10,i,g1-10,4
217,10,i,g1-11,13
218,10,r,g0-00,3
219,10,r,g0-10,6
220,10,r,g0-11,2
221,10,r,g1-00,7
222,10,r,g1-01,12
223,10,r,g1-10,11
224,10,r,g1-11,10
225,10,s,g0-00,984
226,10,s,g0-01,689
227,10,s,g0-10,1023
228,10,s,g0-11,672
229,10,s,g1-00,2979
230,10,s,g1-01,3279
231,10,s,g1-10,2952
232,10,s,g1-11,3299
233,11,i,g0-00,14
234,11,i,g0-01,10
235,11,i,g0-10,5
236,11,i,g0-11,5
237,11,i,g1-00,14
238,11,i,g1-01,15
239,11,i,g1-10,5
240,11,i,g1-11,20
241,11,r,g0-00,5
242,11,r,g0-01,3
243,11,r,g0-10,3
244,11,r,g0-11,3
245,11,r,g1-00,10
246,11,r,g1-01,12
247,11,r,g1-10,16
248,11,r,g1-11,14
249,11,s,g0-00,998
250,11,s,g0-01,654
251,11,s,g0-10,1019
252,11,s,g0-11,730
253,11,s,g1-00,2959
254,11,s,g1-01,3306
255,11,s,g1-10,2952
256,11,s,g1-11,3228
257,12,i,g0-00,12
258,12,i,g0-01,8
259,12,i,g0-10,6
260,12,i,g0-11,11
261,12,i,g1-00,15
262,12,i,g1-01,17
263,12,i,g1-10,7
264,12,i,g1-11,22
265,12,r,g0-00,5
266,12,r,g0-01,5
267,12,r,g0-10,5
268,12,r,g0-11,1
269,12,r,g1-00,14
270,12,r,g1-01,18
271,12,r,g1-10,15
272,12,r,g1-11,19
273,12,s,g0-00,1036
274,12,s,g0-01,684
275,12,s,g0-10,1067
276,12,s,g0-11,713
277,12,s,g1-00,2918
278,12,s,g1-01,3268
279,12,s,g1-10,2900
280,12,s,g1-11,3234
281,13,i,g0-00,14
282,13,i,g0-01,10
283,13,i,g0-10,10
284,13,i,g0-11,8
285,13,i,g1-00,15
286,13,i,g1-01,27
287,13,i,g1-10,11
288,13,i,g1-11,29
